stage,power
497,9559343
498,8544986
499,9191860
500,14057209
501,18302259
502,14080281
503,20836752
504,20140584
505,18033916
506,21005639
507,21113144
508,29671897
509,16688186
510,19009227
511,19546486
512,21797400
513,21014887
514,22984453
515,21357164
516,26385959
517,23896055
518,20424950
519,30536408
520,18837953
521,34924558
522,23126797
523,28655073
524,16197777
525,34803491
526,26269369
527,26476851
528,22281697
529,33837406
530,26225107
531,35409176
532,37399182
533,22220781
534,29835293
535,23535692
536,31769538
537,38261703
538,31605344
539,23785648
540,28176697
541,36892886
542,22378719
543,26177688
544,34346585
545,33834006
546,49532448
547,27245646
548,39410670
549,32148280
550,37247722
551,35952010
552,50879658
553,37589780
554,49748341
555,42417322
556,41186778
557,40477146
558,36130094
559,33649155
560,47890339
561,45749544
562,48450316
563,48957721
564,42700784
565,41847603
566,54860711
567,30986380
568,54452578
569,37783094
570,57525091
571,38575451
572,57332359
573,44620512
574,41651736
575,41374394
576,36178351
577,60229067
578,51709262
579,42134934
580,73616564
581,44600895
582,47558286
583,46110703
584,60018052
585,66360098
586,56518574
587,67476226
588,50409479
589,55044832
590,38407735
591,42474967
592,46996525
593,48884846
594,66336229
595,49250661
596,41696312
597,78067487
598,63307276
599,55694054
600,50086236
