key,value
10015_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
10016_1,active_skill_10016_1
10016_2,passive_skill_effect_buff_2_stat
10016_3,passive_skill_10016_3
10016_4,passive_skill_10016_4~block_chance~0
10017_1,active_skill_effect_debuff_chance_bonus_class_hero~effect_chance
10017_2,passive_skill_effect_buff_2_stat
10017_4,passive_skill_10017_4~stat_buff_chance~0
10018_1,active_skill_damage
10018_3,passive_skill_effect_buff_2_stat
10018_4,passive_skill_10018_4
10019_1,active_skill_damage
10019_3,passive_skill_10019_3~stat_debuff_chance~0
10019_4,passive_skill_effect_buff_2_stat
10020_1,active_skill_damage
10020_3,passive_skill_effect_buff_front_back_line
10020_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
10021_1,active_skill_10021_1_20011_1
10021_2,passive_skill_effect_buff_2_stat
10021_4,passive_skill_if_hp_reduction
10022_1,active_skill_effect_debuff_chance~effect_chance
10022_2,passive_skill_effect_buff_2_stat
10022_4,passive_skill_10022_4
10023_1,active_skill_effect_debuff_chance_amount~dot_chance
10023_3,passive_skill_effect_buff_2_stat
10024_1,active_skill_effect_debuff_chance~effect_chance
10024_2,passive_skill_effect_buff_2_stat
10025_1,active_skill_damage
10026_1,active_skill_damage
20001_1,active_skill_20001_1~effect_chance~0
20001_2,passive_skill_20001_2
20001_3,passive_skill_20001_3
20001_4,passive_skill_20001_4
20002_1,active_skill_20002_1
20002_2,passive_skill_20002_2
20002_3,passive_skill_effect_buff_3_stat
20002_4,passive_skill_20002_4
20003_1,active_skill_20003_1
20003_2,passive_skill_20003_2
20003_3,passive_skill_20003_3
20003_4,passive_skill_20003_4
20004_1,active_skill_effect_debuff_chance~effect_chance
20004_2,passive_skill_20004_2
20004_3,passive_skill_effect_buff_3_stat
20004_4,passive_skill_10005_4_20004_4~counter_attack_chance~0
20005_1,active_skill_effect_debuff_chance_amount~dot_chance
20005_2,passive_skill_20005_2
20005_3,passive_skill_20005_3~dot_chance~0
20005_4,passive_skill_20005_4
20006_1,active_skill_20006_1
20006_2,passive_skill_20006_2~effect_chance~0
20006_3,passive_skill_20006_3
20006_4,passive_skill_20006_4
20007_1,active_skill_20007_1
20007_2,passive_skill_20007_2
20007_3,passive_skill_effect_buff_2_stat
20007_4,passive_skill_20007_4
20008_1,active_skill_20008_1
20008_2,passive_skill_20008_2~stat_buff_chance~0
20008_3,passive_skill_20008_3
20008_4,passive_skill_20008_4
20009_1,active_skill_effect_debuff_chance_amount~dot_chance
20009_2,passive_skill_effect_buff_3_stat
20009_3,passive_skill_effect_debuff_chance_basic_attack~effect_chance
20009_4,passive_skill_20009_4~trigger_chance~0
20010_1,active_skill_10010_1
20010_2,passive_skill_20010_2~heal_chance~0
20010_3,passive_skill_effect_buff_2_stat
20010_4,passive_skill_20010_4~heal_chance~0
20011_1,active_skill_10021_1_20011_1
20011_2,passive_skill_20011_2
20011_3,passive_skill_20011_3~stat_buff_chance~0
20011_4,passive_skill_20010_4~heal_chance
20012_1,active_skill_20012_1~effect_chance~0
20012_2,passive_skill_effect_debuff_when_attacked~effect_dot_chance
20012_3,passive_skill_effect_buff_2_stat
20012_4,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
20013_1,active_skill_effect_debuff_chance_bonus_class_hero~effect_chance
20013_2,passive_skill_effect_buff_1_stat
20013_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
20014_1,active_skill_20014_1
20014_2,passive_skill_effect_buff_2_stat
20014_3,passive_skill_20014_3
20014_4,passive_skill_20014_4
20015_1,active_skill_20015_1
20015_2,passive_skill_effect_buff_1_stat
20015_4,passive_skill_20015_4
20016_1,active_skill_10014_1
20016_2,passive_skill_20016_2
20016_3,passive_skill_effect_buff_1_stat
20016_4,passive_skill_20016_4
20017_1,active_skill_damage
20018_1,active_skill_damage
20019_1,active_skill_damage
20019_3,passive_skill_effect_buff_1_stat
20020_1,active_skill_stat_debuff_chance_reduction~stat_debuff_chance
20020_3,passive_skill_effect_buff_1_stat
20020_4,passive_skill_effect_debuff_when_attacked~effect_dot_chance
20021_1,active_skill_effect_debuff_chance_amount~dot_chance
20021_2,passive_skill_effect_buff_2_stat
20022_1,active_skill_20022_1
20022_3,passive_skill_effect_buff_2_stat
20023_1,active_skill_20023_1
20023_3,passive_skill_effect_buff_1_stat
20023_4,passive_skill_20023_4
20024_1,active_skill_effect_debuff_chance~effect_chance
20024_3,passive_skill_effect_buff_2_stat
20024_4,passive_skill_20024_4
20025_1,active_skill_20025_1
20025_2,passive_skill_effect_buff_2_stat
20025_4,passive_skill_20025_4
20026_1,active_skill_effect_buff_heal~heal_duration~1
20026_2,passive_skill_20026_2~heal_chance~0
20026_3,passive_skill_20026_3~heal_chance~0
30001_1,active_skill_30001_1
30001_2,passive_skill_30001_2
30001_3,passive_skill_30001_3
30001_4,passive_skill_30001_4
30002_1,active_skill_30002_1
30002_2,passive_skill_effect_buff_2_stat
30002_3,passive_skill_30002_3
30002_4,passive_skill_30002_4
30003_1,active_skill_30003_1
30003_2,passive_skill_30003_2
30003_3,passive_skill_30003_3~heal_resistance_chance~0
30003_4,passive_skill_30003_4~revive_chance~0
30004_1,active_skill_effect_debuff_chance~effect_chance
30004_2,passive_skill_30004_2
30004_3,passive_skill_30004_3_40011_2_40019_4
30004_4,passive_skill_30004_4
30005_1,passive_skill_30005_1
30005_2,passive_skill_effect_buff_2_stat
30005_3,passive_skill_30005_3
30005_4,passive_skill_30005_4
30006_1,active_skill_30006_1
30006_2,passive_skill_30006_2
30006_3,passive_skill_30006_3
30006_4,passive_skill_30006_4
30007_1,active_skill_effect_debuff_chance~effect_chance
30007_2,passive_skill_effect_buff_3_stat
30007_3,passive_skill_30007_3
30007_4,passive_skill_30007_4
30008_1,active_skill_effect_debuff_chance~effect_chance
30008_2,passive_skill_effect_buff_3_stat
30008_3,passive_skill_30008_3
30008_4,passive_skill_30008_4
30009_1,active_skill_effect_debuff_chance~effect_chance
30009_2,passive_skill_effect_buff_2_stat
30009_3,passive_skill_30009_3
30009_4,passive_skill_effect_buff_front_back_line
30010_1,active_skill_effect_buff_heal~heal_duration~1
30010_2,passive_skill_30010_2~add_power_chance~0
30010_3,passive_skill_30010_3
30010_4,passive_skill_30010_4~block_chance~0
30011_1,active_skill_30011_1
30011_2,passive_skill_30011_2
30011_3,passive_skill_30011_3
30011_4,passive_skill_30011_4
30012_1,active_skill_30012_1
30012_2,passive_skill_effect_buff_front_back_line
30012_3,pasive_skill_30012_3
30012_4,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
30013_1,active_skill_effect_buff_heal~heal_duration~1
30013_2,passive_skill_20010_2~heal_chance
30013_3,passive_skill_effect_buff_2_stat
30013_4,passive_skill_if_hp_reduction
30014_1,active_skill_30014_1
30014_2,passive_skill_30014_2~blood_mark_chance~0
30014_3,passive_skill_effect_buff_2_stat
30014_4,passive_skill_30014_4~counter_attack_chance~0
30015_1,active_skill_effect_debuff_chance_amount~dot_chance
30015_4,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
30016_1,active_skill_damage
30017_1,active_skill_damage
30018_1,active_skill_30012_1
30018_2,passive_skill_effect_buff_1_stat
30018_3,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
30019_1,active_skill_effect_debuff_chance_amount~dot_chance
30019_2,passive_skill_30019_2
30019_4,passive_skill_30019_4
30020_1,active_skill_30012_1
30020_3,passive_skill_effect_buff_1_stat
30020_4,passive_skill_30020_4
30021_1,active_skill_30021_1
30021_2,passive_skill_effect_buff_2_stat
30021_4,passive_skill_30021_4
30022_1,active_skill_30022_1~effect_chance~0
30022_3,passive_skill_effect_buff_2_stat
30022_4,passive_skill_30022_4
30023_1,active_skill_stat_debuff_chance_reduction~stat_debuff_chance
30023_2,passive_skill_10010_2~stat_buff_chance
30023_4,passive_skill_effect_buff_2_stat
30024_1,active_skill_30024_1_50013_1~stat_debuff_chance~0
30024_3,passive_skill_10010_2~stat_buff_chance
30024_4,passive_skill_effect_buff_front_back_line
30025_1,active_skill_30025_1
30025_3,passive_skill_effect_buff_2_stat
30026_1,active_skill_30026_1
30026_3,passive_skill_effect_buff_1_stat
40001_1,active_skill_effect_buff_heal~heal_duration~1
40001_2,passive_skill_40001_2~heal_chance~0
40001_3,passive_skill_effect_buff_2_stat
40001_4,passive_skill_40001_4
40002_1,passive_skill_40002_1
40002_2,passive_skill_40002_2
40002_3,passive_skill_40002_3~block_chance~0
40002_4,passive_skill_40002_4
40003_1,active_skill_40003_1~effect_chance~0
40003_2,passive_skill_40003_2~effect_chance~0
40003_3,passive_skill_effect_buff_2_stat
40003_4,passive_skill_40003_4~reflect_chance~0
40004_1,active_skill_effect_debuff_chance~effect_chance
40004_2,passive_skill_20008_2~stat_buff_chance
40004_3,passive_skill_20008_3
40004_4,passive_skill_40004_4
40005_1,active_skill_effect_buff_heal~heal_duration~1
40005_2,passive_skill_40005_2
40005_3,passive_skill_40005_3
40005_4,passive_skill_40005_4
40006_1,active_skill_40006_1
40006_2,passive_skill_40006_2~effect_chance~0
40006_3,passive_skill_40006_3
40006_4,passive_skill_40006_4
40007_1,active_skill_40007_1
40007_2,passive_skill_40007_2
40007_3,passive_skill_effect_buff_2_stat
40007_4,passive_skill_40007_4~effect_chance~0
40008_1,active_skill_40008_1~silence_chance~0
40008_2,passive_skill_40008_2
40008_3,passive_skill_40008_3
40008_4,passive_skill_40008_4
40009_1,active_skill_40009_1
40009_2,passive_skill_effect_buff_2_stat
40009_3,passive_skill_40009_3
40009_4,passive_skill_40009_4
40010_1,active_skill_effect_debuff_chance_amount~dot_chance
40010_2,passive_skill_effect_debuff_when_attacked~effect_dot_chance
40010_3,passive_skill_40010_3
40010_4,passive_skill_40010_4
40011_1,active_skill_effect_debuff_chance_bonus_class_hero~effect_chance
40011_2,passive_skill_30004_3_40011_2_40019_4
40011_3,passive_skill_40011_3
40011_4,passive_skill_40011_4
40012_1,active_skill_effect_debuff_chance~effect_chance
40012_2,passive_skill_effect_buff_2_stat
40012_3,passive_skill_40012_3~silence_chance~0
40012_4,passive_skill_40012_4
40013_1,active_skill_damage
40014_1,active_skill_damage
40015_1,active_skill_effect_debuff_chance_amount~dot_chance
40015_3,passive_skill_effect_buff_1_stat
40016_1,active_skill_40016_1
40016_2,passive_skill_effect_buff_1_stat
40017_1,active_skill_40017_1
40017_4,passive_skill_effect_buff_1_stat
40018_1,active_skill_10015_1
40018_3,passive_skill_effect_buff_front_back_line
40018_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
40019_1,active_skill_effect_debuff_chance_bonus_class_hero~effect_chance
40019_2,passive_skill_effect_buff_1_stat
40019_4,passive_skill_30004_3_40011_2_40019_4
40020_1,active_skill_effect_buff_heal~heal_duration~1
40020_3,passive_skill_40020_3~heal_chance~0
40020_4,passive_skill_effect_buff_2_stat
40021_1,active_skill_10015_1
40021_2,passive_skill_effect_buff_2_stat
40021_4,passive_skill_40021_4_40023_2~counter_attack_chance~0
40022_1,active_skill_effect_debuff_chance~effect_chance
40022_3,passive_skill_effect_buff_2_stat
40022_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
40023_1,active_skill_effect_debuff_chance_amount~dot_chance
40023_2,passive_skill_40021_4_40023_2~counter_attack_chance~0
40023_3,passive_skill_effect_buff_2_stat
40023_4,passive_skill_40023_4
40024_1,active_skill_effect_debuff_chance_amount~dot_chance
40024_2,passive_skill_effect_buff_2_stat
40024_3,passive_skill_40024_3
40024_4,passive_skill_40024_4
40025_1,active_skill_10015_1
40025_2,passive_skill_effect_buff_2_stat
40025_4,passive_skill_40025_4
40026_1,active_skill_10014_1
40026_2,passive_skill_effect_buff_front_back_line
40026_3,passive_skill_40026_3
50001_1,active_skill_50001_1~effect_chance~0
50001_2,passive_skill_50001_2
50001_3,passive_skill_50001_3
50001_4,passive_skill_50001_4~hp_limit~1
50002_1,active_skill_50002_1
50002_2,passive_skill_50002_2
50002_3,passive_skill_50002_3~revive_chance~0
50002_4,passive_skill_50002_4
50003_1,active_skill_50003_1
50003_2,passive_skill_effect_buff_2_stat
50003_3,passive_skill_50003_3
50003_4,passive_skill_50003_4~revive_chance~0
50004_1,active_skill_50004_1
50004_2,passive_skill_effect_buff_3_stat
50004_3,passive_skill_50004_3
50004_4,passive_skill_50004_4
50005_1,active_skill_50005_1
50005_2,passive_skill_50005_2
50005_3,passive_skill_50005_3~effect_chance~0
50005_4,passive_skill_50005_2
50006_1,active_skill_effect_debuff_chance~effect_chance
50006_2,passive_skill_50006_2
50006_3,passive_skill_50006_3~extra_turn_chance~0
50006_4,passive_skill_50006_4
50007_1,active_skill_50007_1
50007_2,passive_skill_50007_2~steal_chance~0
50007_3,passive_skill_50007_3
50007_4,passive_skill_50007_4
50008_1,active_skill_effect_debuff_chance~effect_chance
50008_2,passive_skill_effect_buff_3_stat
50008_3,passive_skill_50008_3
50008_4,passive_skill_50008_4
50009_1,active_skill_50009_1
50009_2,passive_skill_effect_buff_2_stat
50009_3,active_skill_50009_3
50009_4,passive_skill_50009_4~effect_chance~0
50010_1,active_skill_50010_1~silence_chance_debuff_mage~0
50010_2,passive_skill_50010_2_60013_3~counter_attack_chance~0
50010_3,passive_skill_50010_3~stat_buff_chance~0
50010_4,passive_skill_50010_4
50011_1,active_skill_effect_debuff_chance~effect_chance
50011_2,passive_skill_50011_2
50011_3,passive_skill_50011_3
50011_4,passive_skill_50011_4~trigger_chance~0
50012_1,active_skill_50012_1
50012_2,passive_skill_effect_buff_2_stat
50012_3,passive_skill_50012_3
50012_4,passive_skill_50012_4~heal_chance~0
50013_1,active_skill_30024_1_50013_1~stat_debuff_chance~0
50013_2,passive_skill_effect_buff_2_stat
50013_3,passive_skill_50013_3~trigger_chance~0
50013_4,passive_skill_50013_4
50014_1,active_skill_effect_debuff_chance_bonus_class_hero~effect_chance
50014_3,passive_skill_effect_buff_2_stat
50014_4,passive_skill_50014_4~stat_buff_chance~0
50015_1,active_skill_50015_1
50015_2,passive_skill_effect_buff_2_stat
50015_4,passive_skill_50015_4
50016_1,active_skill_effect_buff_heal~heal_duration~1
50017_1,active_skill_50017_1
50018_1,active_skill_damage
50018_4,passive_skill_effect_buff_2_stat
50019_1,active_skill_effect_buff_heal_chance~heal_chance
50019_3,passive_skill_effect_buff_1_stat
50020_1,active_skill_damage
50020_2,passive_skill_effect_buff_2_stat
50021_1,active_skill_effect_debuff_chance_amount~dot_chance
50021_4,passive_skill_effect_buff_2_stat
50022_1,active_skill_damage
50022_2,passive_skill_effect_buff_2_stat
50022_3,passive_skill_50022_3
50023_1,active_skill_damage
50023_3,passive_skill_effect_debuff_chance_basic_attack~effect_chance
50023_4,passive_skill_50023_4
50024_1,active_skill_effect_debuff_chance~effect_chance
50024_3,passive_skill_effect_buff_2_stat
50024_4,passive_skill_50024_4~heal_chance~0
50025_1,active_skill_effect_debuff_chance~effect_chance
50025_2,passive_skill_effect_buff_2_stat
50025_3,passive_skill_50025_3~bonus_attack_chance~0
50026_1,active_skill_50026_1
50026_2,passive_skill_effect_buff_2_stat
50026_3,passive_skill_50026_3
50026_4,passive_skill_50026_4
60001_1,active_skill_effect_debuff_chance~effect_chance
60001_2,passive_skill_effect_buff_2_stat
60001_3,passive_skill_effect_buff_2_stat
60001_4,passive_skill_60001_4~extra_turn_chance_per_crit~0
60002_1,active_skill_60002_1
60002_2,passive_skill_60002_2
60002_3,passive_skill_60002_3
60002_4,passive_skill_60002_4
60003_1,active_skill_60003_1
60003_2,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
60003_3,passive_skill_60003_3
60003_4,passive_skill_60003_4~heal_chance~0
60004_1,active_skill_60004_1~effect_chance~0
60004_2,passive_skill_60004_2~effect_chance~0
60004_3,passive_skill_60004_3
60004_4,passive_skill_60004_4~effect_chance~0
60005_1,active_skill_60005_1~effect_chance~0
60005_2,passive_skill_effect_buff_3_stat
60005_3,passive_skill_60005_3~stat_debuff_chance~0
60005_4,passive_60005_4
60006_1,active_skill_60006_1~stat_debuff_chance~0
60006_2,passive_skill_effect_buff_2_stat
60006_3,passive_skill_60006_3
60006_4,passive_skill_60006_4
60007_1,active_skill_60007_1
60007_2,passive_skill_60007_2
60007_3,passive_skill_60007_3
60007_4,passive_skill_60007_4
60008_1,active_skill_effect_debuff_chance_amount~dot_chance
60008_2,passive_skill_60008_2~effect_chance~0
60008_3,passive_skill_effect_buff_2_stat
60008_4,passive_skill_60008_4~trigger_chance~0
60009_1,active_skill_60009_1
60009_2,passive_skill_effect_buff_3_stat
60009_3,passive_skill_60009_3
60009_4,passive_skill_60009_4
60010_1,active_skill_60010_1~debuff_chance~0
60010_2,passive_skill_60010_2~effect_chance~0
60010_3,passive_skill_60010_3~effect_chance~0
60010_4,passive_skill_60010_4~stat_buff_chance~0
60011_1,active_skill_stat_debuff_chance_reduction~stat_debuff_chance
60011_2,passive_skill_effect_buff_2_stat
60011_3,passive_skill_60011_3
60011_4,passive_skill_60011_4
60012_1,active_skill_60012_1
60012_2,passive_skill_effect_debuff_when_attacked~effect_dot_chance
60012_3,passive_60012_3
60012_4,passive_skill_effect_buff_3_stat
60013_1,active_skill_60013_1
60013_2,passive_skill_effect_buff_2_stat
60013_3,passive_skill_50010_2_60013_3~counter_attack_chance~0
60013_4,passive_skill_60013_4
60014_1,active_skill_60014_1
60014_2,passive_skill_effect_buff_2_stat
60014_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
60015_1,active_skill_stat_debuff_chance_reduction~stat_debuff_chance
60015_3,passive_skill_60015_3~effect_dot_chance~0
60015_4,passive_skill_effect_buff_2_stat
60016_1,active_skill_60016_1
60017_1,active_skill_damage
60018_1,active_skill_effect_buff_heal_chance~heal_chance
60018_4,passive_skill_effect_buff_2_stat
60019_1,active_skill_damage
60019_3,passive_skill_effect_buff_1_stat
60020_1,active_skill_damage
60020_4,passive_skill_effect_buff_2_stat
60021_1,active_skill_60021_1~silent_chance~0
60021_2,passive_skill_60021_2~extra_turn_chance_per_crit~0
60021_3,passive_skill_effect_buff_2_stat
60022_1,active_skill_damage
60022_3,passive_skill_effect_buff_2_stat
60022_4,passive_skill_60022_4~effect_chance~0
60023_1,active_skill_damage
60023_2,passive_skill_effect_buff_1_stat
60023_4,passive_skill_effect_debuff_chance_basic_attack~effect_chance
60024_1,active_skill_effect_buff_heal_chance~heal_chance
60024_2,passive_skill_60024_2~heal_chance~0
60024_3,passive_skill_effect_buff_2_stat
60025_1,active_skill_effect_buff_heal_chance~heal_chance
60025_2,passive_skill_60025_2
60025_4,passive_skill_effect_buff_2_stat
60026_1,active_skill_stat_debuff_chance_reduction~stat_debuff_chance
60026_2,passive_skill_effect_debuff_chance_basic_attack_amount~effect_chance
60026_3,passive_skill_effect_buff_2_stat
60026_4,passive_skill_60026_4
