key<>value
10001_1<>#VALUE!
10001_2<>Pemecah Es
50024_1<>Perisai membanting
50024_3<>Diarahkan
50024_4<>Penjaga Penyembuhan
50025_1<>Blades kejut.
50025_2<>Menari pisau
50025_3<>Hit ekstra.
50026_1<>Panah kritis
50026_2<>Tip tajam
50026_3<>#VALUE!
50026_4<>Kemarahan murni
60001_1<>Salam kejutan
60001_2<>Rasa gesit
60001_3<>Menyelesaikan
60001_4<>Tindak lanjut kritis
60002_1<>#VALUE!
60002_2<>haus darah
60002_3<>Penjambret Kehidupan
60002_4<>Pembalas berdarah
60003_1<>Serangan Berkedip
60003_2<>pertumpahan darah
60003_3<>Darah Berserker
60003_4<>Kemarahan lifesteal
60004_1<>Fokus Mark.
60004_2<>Mark gelap
60004_3<>Menandai negasi.
60004_4<>Pembalasan
60005_1<>Tanda Kematian
60005_2<>Bayangan sumpah
60005_3<>Roh Darer.
60005_4<>Multi-pemogokan
60006_1<>Air mancur percikan
60006_2<>Footwork Armada.
60006_3<>Mawar hitam
60006_4<>Kemarahan Stok
60007_1<>Tatapan Gelap
60007_2<>Tanda Kutukan
60007_3<>Penyembuhan terkutuk
60007_4<>Mendukung terkutuk
60008_1<>Serangan Neraka
60008_2<>Menghilangkan Tombak
60008_3<>Setan Beku
60008_4<>Bentuk akhir.
60009_1<>Bola gelap.
60009_2<>Penguasa kegelapan
60009_3<>Penyakit Mark.
60009_4<>Rilis Gelap
60010_1<>Jiwa kutuk
60010_2<>Kehadiran dikutuk
60010_3<>Racun terkutuk
60010_4<>Keheningan terakhir
60011_1<>Ray korosi
60011_2<>Senjata Hexa.
60011_3<>Merusak
60011_4<>Shred Armor.
60012_1<>Pembunuh penyihir
60012_2<>SANGULAH SENANG
60012_3<>Pendarahan kritis
60012_4<>Pemburu darah
60013_1<>Lintah Jiwa
60013_2<>Armor gelap
60013_3<>Kontra Heliks
60013_4<>Pembalas
60014_1<>Obligasi Fatal
60014_2<>Scorpion Girl.
60014_4<>Stun Chance.
60015_1<>gagak menggerogoti
60015_3<>Berdarah yang terluka
60015_4<>Dilepaskan
60016_1<>Pertengkaran
60017_1<>Tatapan
60018_1<>Bola penyembuhan
60018_4<>Kemarahan
60019_1<>niat membunuh
60019_3<>Naik Kritis
60020_1<>Melemparkan kapak
60020_4<>Kasar
60021_1<>Panah membungkam
60021_2<>Tembakan kritis
60021_3<>Beauty mematikan
60022_1<>Blade tersembunyi
60022_3<>Tepat
60022_4<>Racun Peluang
60023_1<>Kapak mogok
60023_2<>#VALUE!
60023_4<>Peluang Setrum
60024_1<>Penyembuhan bayangan
60024_2<>Penyembuhan Ward.
60024_3<>Staf penghakiman
60025_1<>Penyembuhan guntur.
60025_2<>Daya hidup
60025_4<>Perisai Petir
60026_1<>Lampu berkurang
60026_2<>Tuan Racun
60026_3<>Lampu ajaib
60026_4<>Tahan Racun
