key<>value
10001_1<>#VALUE!
30026_3<>크림슨 협정
40001_1<>수선 공
40001_2<>치유 탭
40001_3<>달 직원들
40001_4<>졸린 분노
40002_1<>가시를 약화시킨다
40002_2<>부식
40002_3<>어린 나무
40002_4<>자연 실드
40003_1<>천연 독소
40003_2<>건식 마크
40003_3<>자연 방어
40003_4<>계산
40004_1<>정면에서 침묵합니다
40004_2<>안내 손
40004_3<>쪼개다
40004_4<>자연의 본질
40005_1<>치유 대나무
40005_2<>천연 크리스탈
40005_3<>익룡의 에코
40005_4<>부정하지 않습니다
40006_1<>해결책의 방패
40006_2<>치료 히트
40006_3<>축복의 줄무늬
40006_4<>자연의 분노
40007_1<>전격전
40007_2<>회피 공격
40007_3<>침착
40007_4<>축복 분노
40008_1<>포이즌 화살
40008_2<>필사자들
40008_3<>복제 아우라
40008_4<>유독 한 도전
40009_1<>애매한 스트라이크
40009_2<>지선 레이피어
40009_3<>검술
40009_4<>완전
40010_1<>독약 수류탄
40010_2<>포이즌 파우치
40010_3<>독성
40010_4<>포이즌 릴리스
40011_1<>주먹 전사
40011_2<>실신
40011_3<>숙련 된
40011_4<>짐승
40012_1<>멜로디 침묵
40012_2<>자세한 것
40012_3<>중요한 침묵
40012_4<>조용한 태그
40013_1<>놀이 캐치
40014_1<>찌르다
40015_1<>독
40015_3<>#VALUE!
40016_1<>복제본
40016_2<>공격
40017_1<>어쌔신 싫어함
40017_4<>스킬 피해
40018_1<>정확한 슬래시
40018_3<>깨끗한 자연
40018_4<>졸린 그립
40019_1<>꿈의 살인자
40019_2<>공격
40019_4<>졸린 한 측면
40020_1<>치유의 빛나는 것
40020_3<>#VALUE!
40020_4<>대담한
40021_1<>대나무 촬영
40021_2<>힘들어
40021_4<>반격
40022_1<>세레나데
40022_3<>번창하다
40022_4<>잠
40023_1<>피 굶주린 물린
40023_2<>카운터 공격
40023_3<>야만적 인
40023_4<>노발대발
40024_1<>독소 노래
40024_2<>열정
40024_3<>손을 독
40024_4<>분노를 조정하십시오
40025_1<>요새 맞춤법
40025_2<>#VALUE!
40025_4<>치유 전달
40026_1<>스톰프
40026_2<>교활한
40026_3<>사탕 행진
50001_1<>축복 빛
50001_2<>약화 마크
50001_3<>마찬가지로 치유
50001_4<>마지막 소원
50002_1<>거룩한 마크
50002_2<>뚜렷한 관통
50002_3<>거룩한 환생
50002_4<>표시된 축복
50003_1<>열정 옮기기
50003_2<>통찰력
50003_3<>영혼의 훔치기
50003_4<>빛을 부활시킵니다
50004_1<>신성한 실드
50004_2<>로얄 볏
50004_3<>곡선 탈론
50004_4<>축복을 즐기십시오
50005_1<>빛의 칼
50005_2<>빛의 방패
50005_3<>치유 쪼개는 것
50005_4<>래디언의 협정
50006_1<>엄청난 글레이브
50006_2<>튀는 예술
50006_3<>여분의 회전
50006_4<>달러
50007_1<>승리의 여신
50007_2<>영혼 훔치기
50007_3<>생명선
50007_4<>신성한 제재
50008_1<>번개 충격
50008_2<>전도도
50008_3<>에너지가 달린
50008_4<>전기 방출
50009_1<>어둠을 괴롭 히다
50009_2<>피어싱 빛
50009_3<>가벼운 공명
50009_4<>축복 천사
50010_1<>거룩한 사이클론
50010_2<>카운터 공격
50010_3<>멀티 등급의 기회
50010_4<>징벌 적 빛
50011_1<>충격적인 빛
50011_2<>보복의 직원
50011_3<>#VALUE!
50011_4<>할로우 한 추론
50012_1<>치료 블레이드
50012_2<>그림자의 몸
50012_3<>중요한 이득
50012_4<>전원 갭
50013_1<>백 블라인드
50013_2<>거룩한 갑옷
50013_3<>방패 강타
50013_4<>필사적 인 보조금
50014_1<>어쌔신 마커
50014_3<>마음에 들지 못한 것
50014_4<>흥분된 샷
50015_1<>공진 된 빛
50015_2<>브리오 스크롤
50015_4<>기술 분노
50016_1<>치유 주문
50017_1<>추력을 넘어서
50018_1<>가벼운 서지
50018_4<>번개
50019_1<>치유기도
50019_3<>스킬 피해
50020_1<>요금
50020_2<>방패
50021_1<>쏴 버려
50021_4<>빛 화살표
50022_1<>등을 때리다
50022_2<>마술 책
50022_3<>에너지 업
50023_1<>빠른 슬래시
50023_3<>기회 기회
50023_4<>치유 방어
50024_1<>쉴드 슬램
50024_3<>기어드 리다
50024_4<>치유 가드
50025_1<>충격 블레이드
50025_2<>블레이드 댄스
50025_3<>추가 히트
50026_1<>중요한 화살표
50026_2<>샤프 팁
50026_3<>#VALUE!
50026_4<>순수한 분노
60001_1<>충격의 우박
60001_2<>민첩한 감각
60001_3<>해결하다
60001_4<>중요한 후속 조치
60002_1<>#VALUE!
60002_2<>혈괴
60002_3<>생명 도둑
60002_4<>피 묻은 복수 자
60003_1<>깜박임 스트라이크
60003_2<>방혈
60003_3<>버서커의 피
60003_4<>생명의 분노
60004_1<>포커스 마크
60004_2<>어두운 표식
60004_3<>표시된 부정
60004_4<>앙갚음
60005_1<>죽음의 마크
60005_2<>그림자 맹세
60005_3<>성령 님
60005_4<>멀티 쟁이
60006_1<>스플래시 공유
60006_2<>함대 발놀림
60006_3<>검은 장미
60006_4<>주식 분노
60007_1<>어두운 시선
60007_2<>저주 표시
60007_3<>저주받은 치유
60007_4<>저주받은 호의
60008_1<>심연의 일격
60008_2<>디스펠 랜스
60008_3<>서리 악마
60008_4<>최종 형태
60009_1<>어두운 공
60009_2<>어두운 주인
60009_3<>질병 마크
60009_4<>어두운 방출
60010_1<>영혼 저주
60010_2<>저주받은 존재
60010_3<>저주받은 독
60010_4<>마지막 침묵
60011_1<>부식 광선
60011_2<>헥사 암
60011_3<>파괴
60011_4<>갑옷을 분쇄합니다
60012_1<>#VALUE!
60012_2<>으스린 터치
60012_3<>중요한 출혈
60012_4<>혈액 사냥꾼
60013_1<>영혼 거머리
60013_2<>어두운 갑옷
60013_3<>카운터 나선
60013_4<>복수 자
60014_1<>치명적인 채권
60014_2<>전갈 소녀
60014_4<>기회 기회
60015_1<>까마귀 g 아
60015_3<>부상당한 것을 피웠다
60015_4<>해방
60016_1<>기력
60017_1<>시선
60018_1<>치유 공
60018_4<>격노
60019_1<>의도를 죽이는 것
60019_3<>크리 킥
60020_1<>도끼를 던지십시오
60020_4<>엄격한
60021_1<>침묵하는 화살표
60021_2<>비판적인 발사
60021_3<>치명적인 아름다움
60022_1<>숨겨진 칼날
60022_3<>정밀한
60022_4<>독약 기회
60023_1<>도끼 스트라이크
60023_2<>#VALUE!
60023_4<>기회 기회
60024_1<>그림자를 치유합니다
60024_2<>치유 병동
60024_3<>판단력있는 직원
60025_1<>치유 천둥
60025_2<>활력
60025_4<>번개 방패
60026_1<>Waning 램프
60026_2<>포이즌 마스터
60026_3<>마법의 램프
60026_4<>독성성
