key<>value
20001_2<>Burning Hands
20001_3<>Phoenix
20001_4<>Rebirth
20002_1<>Burning Fervor
20002_2<>Healing Touch
20002_3<>Fiery Perception
20002_4<>Divine Shield
20003_1<>Frontal Knockout
20003_2<>Cleanse
20003_3<>Defender
20003_4<>Berserker Rage
20004_1<>Silence the Weak
20004_2<>Break the Frail
20004_3<>Relentless Training
20004_4<>Assassin's Creed
20005_1<>Frontal Blaze Kicks
20005_2<>Red Flame Aura
20005_3<>Inferno at the Gates
20005_4<>Fueling the Fire
20006_1<>Magma Blast
20006_2<>Combustion
20006_3<>Magma Crystal
20006_4<>Eternal Flame
20007_1<>Fox-Fire
20007_2<>Lullaby in the Back
20007_3<>Nine-tailed Fox
20007_4<>Healing Fire
20008_1<>Blinding Assault
20008_2<>Warmonger
20008_3<>Back Wrecker
20008_4<>Critical Resolve
20009_1<>Breath of Fire
20009_2<>Colossal Beast
20009_3<>Greater Bash
20009_4<>Rage of Dispel
20010_1<>Sluggish Spike
20010_2<>Curing Spike
20010_3<>Sharp Legs
20010_4<>Silken Layer
20011_1<>Priest Stomper
20011_2<>Priestbane Minotaur
20011_3<>Consecutive Strikes
20011_4<>Beefy Regen
20012_1<>Slash-and-burn
20012_2<>Burning Armor
20012_3<>Molten Orce
20012_4<>Lava Matchet
20013_1<>Warrior's Suprise
20013_2<>Rugged
20013_4<>Stun Chance
20014_1<>Back Crushing
20014_2<>Lava Constitution
20014_3<>Whiplash
20014_4<>Energy Rage
20015_1<>Back Incineration
20015_2<>Efficiency
20015_4<>Healing Attack
20016_1<>Inferno
20016_2<>Heat Accumulation
20016_3<>Eternal Will
20016_4<>Molten Discharge
20017_1<>Finishing Hit
20018_1<>Fire Stone
20019_1<>Frontal Slash
20019_3<>Big
20020_1<>Blow Fire
20020_3<>Armor Penetration
20020_4<>Made of Fire
20021_1<>Fire Arrow
20021_2<>Precision
20022_1<>Back Claws
20022_3<>Energy Hands
20023_1<>Back Explosion
20023_3<>Dodge Chance
20023_4<>Agility Rage
20024_1<>Sickle Bash
20024_3<>Indomitable
20024_4<>Corrosive Hit
20025_1<>Giant Slayer
20025_2<>Echolocation
20025_4<>Condemn
20026_1<>Fire Healing Ball
20026_2<>Healing Barrier
20026_3<>Recovery Hit
30001_1<>Way to Hell
30001_2<>Life Taker
30001_3<>Soul Revenge
30001_4<>Demon Horns
30002_1<>Avalance Ahead
30002_2<>Made of Stone
30002_3<>Damage Negation
30002_4<>Restorative Passing
30003_1<>Book of Death
30003_2<>Undead
30003_3<>Blood Freezing Touch
30003_4<>Soulless 
30004_1<>Petrifying Gaze
30004_2<>Poison Sting
30004_3<>Petrifying Talon
30004_4<>Ouroboros
30005_1<>Devour the World
30005_2<>Enormous Creature
30005_3<>Venomous Bite
30005_4<>Poisonous Scales
30006_1<>Vendetta Finisher
30006_2<>Berserker
30006_3<>Ghostification Lifeline
30006_4<>Culling Spear
30007_1<>Petrifying Breath
30007_2<>Undead Dragon
30007_3<>Cockatrice Bones
30007_4<>Earthy Revival
30008_1<>Frontal Crystallization
30008_2<>Gigantic Body
30008_3<>Darksiders
30008_4<>Crystalized Reckoning
30009_1<>Artillery Fire
30009_2<>Excellent Cannoneer
30009_3<>Blast 'Em Up
30009_4<>Artillery Mastery
30010_1<>Crushing Heal
30010_2<>Energized Recovery Magic
30010_3<>Healing Light
30010_4<>Blocking Hands
30011_1<>Spread Disease
30011_2<>Contagious Sustenance
30011_3<>Transmission
30011_4<>Epidemic
30012_1<>Absolute Zero
30012_2<>Adaptable
30012_3<>Stone Breaker
30012_4<>Bleeding Hit
30013_1<>Healing Ray
30013_2<>Sickle Heal
30013_3<>Lasting Subsistence
30013_4<>Violent Rage
30014_1<>Bloody Dinger
30014_2<>Blood for Blood
30014_3<>Parry Expertise
30014_4<>Bloody Vengeance
30015_1<>Bleeding Slash
30015_4<>Bleeding Hit
30016_1<>Back Shots
30017_1<>Back Claw
30018_1<>Armor Slice
30018_2<>Finale
30018_3<>Bleeding Harvest
30019_1<>Poison Feathers
30019_2<>Finish the Injured
30019_4<>Toxic Rage
30020_1<>Scythe Back Slash
30020_3<>Eroding Body
30020_4<>Damnation
30021_1<>Gaia Spirit
30021_2<>Stone Shield
30021_4<>Slow Down
30022_1<>Bleeding Arrows
30022_3<>Seasoned Hunter
30022_4<>Back Shooter
30023_1<>Corrosive Lamp
30023_2<>Fumigation
30023_4<>Theriac
30024_1<>Frontal Cut
30024_3<>Erroding Anger
30024_4<>Flexible
30025_1<>Spirit Ball
30025_3<>Strengthening Magic
30026_1<>Bloodthirsty
30026_3<>Crimson Pact
40001_1<>Mending Ball
40001_2<>Healing Tap
40001_3<>Lunar Staff
40001_4<>Drowsy Rage
40002_1<>Weakening Thorns
40002_2<>Erosion
40002_3<>Sapling
40002_4<>Nature Shield
40003_1<>Natural Toxins
40003_2<>Dryad Mark
40003_3<>Natural Defense
40003_4<>Reckoning
40004_1<>Silence at the Front
40004_2<>Guiding Hand
40004_3<>Cleave
40004_4<>Essence of Nature
40005_1<>Healing Bamboo
40005_2<>Natural Crystal
40005_3<>Skilful Echo
40005_4<>Damage Negation
40006_1<>Shield of Remedy
40006_2<>Curative Hit
40006_3<>Blessing Streak
40006_4<>Rage of Nature
40007_1<>Blitzkrieg 
40007_2<>Evasion Attack
40007_3<>Composure
40007_4<>Blessing Rage
40008_1<>Poison Arrows
40008_2<>Mortal Enemies
40008_3<>Vengeance Aura
40008_4<>Poisonous Defiance
40009_1<>Elusive Strike
40009_2<>Earthvessel Rapier
40009_3<>Bladework
40009_4<>Perfection
40010_1<>Poison Grenade
40010_2<>Poison Pouch
40010_3<>Toxicity
40010_4<>Poison Release
40011_1<>Clash of Warriors
40011_2<>Swoon
40011_3<>Skilled
40011_4<>Beastial
40012_1<>Silencing Melody
40012_2<>Perky
40012_3<>Critical Silence
40012_4<>Quiet Tag
40013_1<>Play Catch
40014_1<>Stab
40015_1<>Poison
40015_3<>HP Up
40016_1<>Clone Poison
40016_2<>Attack Up
40017_1<>Assassin Dislike
40017_4<>Skill Damage Up
40018_1<>Accurate Slash
40018_3<>Dogdy Nature
40018_4<>Sleepy Grip
40019_1<>Assassin Sweven
40019_2<>Attack Up
40019_4<>Sleepy Aspect
40020_1<>Healing Gleam
40020_3<>Healing Hit
40020_4<>Daring
40021_1<>Bamboo Shoot
40021_2<>Tough Up
40021_4<>Riposte
40022_1<>Serenade
40022_3<>Thrive
40022_4<>Sleep
40023_1<>Bloodthirsty Bite
40023_2<>Counter Attack
40023_3<>Savage
40023_4<>Wild Rage
40024_1<>Toxin Song
40024_2<>Mettle
40024_3<>Poison Hand
40024_4<>Tune Rage
40025_1<>Fortifying Spell
40025_2<>CC Resist Up
40025_4<>Passing Heal
40026_1<>Stomp
40026_2<>Crafty
40026_3<>Candy Streak
50001_1<>Blessing Light
50001_2<>Weakening Mark
50001_3<>Marked Healing
50001_4<>Last Wish
50002_1<>Holy Mark
50002_2<>Marked Penance
50002_3<>Holy Reincarnation
50002_4<>Marked Blessing
50003_1<>Zeal Transfer
50003_2<>Insight
50003_3<>Soul Steal
50003_4<>Light Revive
50004_1<>Divine Shield
50004_2<>Royal Crest
50004_3<>Curved Talon
50004_4<>Blessing Soar
50005_1<>Sword of Light
50005_2<>Shield of Light
50005_3<>Healing Cleave
50005_4<>Pact of Radiance
50006_1<>Staggering Glaive
50006_2<>Bouncing Art
50006_3<>Extra Turns
50006_4<>Moonstruck
50007_1<>Goddess of Victory
50007_2<>Spirit Steal
50007_3<>Lifeline
50007_4<>Divine Sanction
50008_1<>Lightning Strike
50008_2<>Conductivity
50008_3<>Energized
50008_4<>Electric Release
50009_1<>Banish the Dark
50009_2<>Piercing Light
50009_3<>Light Resonance
50009_4<>Blessing Angel
50010_1<>Holy Cyclone
50010_2<>Counter Attack
50010_3<>Multistrike Chance
50010_4<>Punitive Light
50011_1<>Shocking Light
50011_2<>Staff of Retribution
50011_3<>Warriorbane
50011_4<>Hallowed Corollary
50012_1<>Curative Blades
50012_2<>Body of Shadow
50012_3<>Critical Gain
50012_4<>Power Gap
50013_1<>Back Blinder
50013_2<>Holy Armor
50013_3<>Shield Bash
50013_4<>Desperate Aid
50014_1<>Assassin Marker
50014_3<>Mindfulness
50014_4<>Excited Shot
50015_1<>Resonant Light
50015_2<>Scroll of Brio
50015_4<>Skill Rage
50016_1<>Healing Spell
50017_1<>Over Thrust
50018_1<>Light Surge
50018_4<>Lightening
50019_1<>Healing Prayer
50019_3<>Skill Damage Up
50020_1<>Charge
50020_2<>Shield
50021_1<>Shoot to Bleed
50021_4<>Light Arrows
50022_1<>Back Smite
50022_2<>Magic Book
50022_3<>Energy Up
50023_1<>Quick Slash
50023_3<>Stun Chance
50023_4<>Healing Defense
50024_1<>Shield Slam
50024_3<>Geared Up
50024_4<>Healing Guard
50025_1<>Shock Blades
50025_2<>Blade Dance
50025_3<>Extra Hit
50026_1<>Critical Arrows
50026_2<>Sharp Tip
50026_3<>Darkbane
50026_4<>Pure Rage
60001_1<>Hail of Shock
60001_2<>Nimble Sense
60001_3<>Resolve
60001_4<>Critical Followup
60002_1<>Soul Snatch
60002_2<>Bloodlust
60002_3<>Life Snatcher
60002_4<>Bloody Avenger
60003_1<>Flicker Strike
60003_2<>Bloodletting
60003_3<>Berserker's Blood
60003_4<>Lifesteal Rage
60004_1<>Focus Mark
60004_2<>Dark Mark
60004_3<>Marked Negation
60004_4<>Retaliation
60005_1<>Death Mark
60005_2<>Shadow Oath
60005_3<>Spirit Darer
60005_4<>Multistrike
60006_1<>Splash Fount
60006_2<>Fleet Footwork
60006_3<>La Rose Noire
60006_4<>Estoc Rage
60007_1<>Dark Gaze
60007_2<>Curse Mark
60007_3<>Cursed Healing
60007_4<>Cursed Favor
60008_1<>Abysm Strike
60008_2<>Lance of Dispel
60008_3<>Frost Demon
60008_4<>Final Form
60009_1<>Dark Ball
60009_2<>Dark Lord
60009_3<>Disease Mark
60009_4<>Dark Release
60010_1<>Soul Curse
60010_2<>Cursed Presence
60010_3<>Cursed Venom
60010_4<>Last Silence
60011_1<>Ray of Corrosion
60011_2<>Hexa Arms
60011_3<>Ravage
60011_4<>Shred Armor
60012_1<>Magebane
60012_2<>Sanguine Touch
60012_3<>Critical Bleeding
60012_4<>Blood Hunter
60013_1<>Soul Leeching Chop
60013_2<>Dark Armor
60013_3<>Counter Helix
60013_4<>Avenger
60014_1<>Fatal Bonds
60014_2<>Scorpion Girl
60014_4<>Stun Chance
60015_1<>Gnawing Raven
60015_3<>Bleed the Injured
60015_4<>Unleashed 
60016_1<>Zap
60017_1<>Gaze
60018_1<>Healing Ball
60018_4<>Wrath
60019_1<>Killing Intent
60019_3<>Crit Up
60020_1<>Throw Axe
60020_4<>Rugged
60021_1<>Silencing Arrow
60021_2<>Critical Firing
60021_3<>Deadly Beauty
60022_1<>Hidden Blade
60022_3<>Precise
60022_4<>Poison Chance
60023_1<>Axe Strike
60023_2<>HP Up
60023_4<>Stun Chance
60024_1<>Healing Shadow
60024_2<>Healing Ward
60024_3<>Staff of Judgement
60025_1<>Healing Thunder
60025_2<>Vitality
60025_4<>Lightning Shield
60026_1<>Waning Lamp
60026_2<>Poison Master
60026_3<>The Magic Lamp
60026_4<>Poison Resistant
