key<>value
10001_1<>#VALUE!
30013_3<>Длительный проживание
30013_4<>Насильственная ярость
30014_1<>Кровавый Детнин
30014_2<>Кровь за кровь
30014_3<>Parry Tepense
30014_4<>Кровавая месть
30015_1<>Кровотечение
30015_4<>Кровотечение хит
30016_1<>Задние выстрелы
30017_1<>Обратно коготь
30018_1<>Ломтик брони
30018_2<>Финал
30018_3<>Кровотечение урожая
30019_1<>Ядовитые перья
30019_2<>Закончить раненство
30019_4<>Токсическая ярость
30020_1<>Коса задняя слеш
30020_3<>Эрудировка тела
30020_4<>Проклятие
30021_1<>Дух Гайя
30021_2<>Каменный щит
30021_4<>Замедлять
30022_1<>Кровотечение стрел
30022_3<>Охотничий охотник
30022_4<>Задний стрелок
30023_1<>Коррозионная лампа
30023_2<>Фумигация
30023_4<>Отрицательный
30024_1<>Фронтальный разрез
30024_3<>Ошибочный гнев
30024_4<>Гибкий
30025_1<>Духовный шар
30025_3<>Укрепление магии
30026_1<>Кровожадность
30026_3<>Малиновый пакт
40001_1<>Починить мяч
40001_2<>Целебное касание
40001_3<>Лунный персонал
40001_4<>Сонливость ярости
40002_1<>Ослабление шипов
40002_2<>Эрозия
40002_3<>Саженец
40002_4<>Природа щит
40003_1<>Природные токсины
40003_2<>Двигаба
40003_3<>Естественная защита
40003_4<>Расплата
40004_1<>Молчание спереди
40004_2<>Руководящая рука
40004_3<>Расщеплять
40004_4<>Сущность природы
40005_1<>Заживление бамбука
40005_2<>Природный кристалл
40005_3<>Умелое эхо
40005_4<>Ущерб отрицания
40006_1<>Щит правовой защиты
40006_2<>Лечебный удар
40006_3<>Благословение
40006_4<>Ярость природы
40007_1<>Блицкриг
40007_2<>Уклонение от атаки
40007_3<>Самообладание
40007_4<>Благословение ярости
40008_1<>Ядовитые стрелы
40008_2<>Смертные враги
40008_3<>Месть aura
40008_4<>Ядовитый дефект
40009_1<>Неуловимый удар
40009_2<>#VALUE!
40009_3<>Меча
40009_4<>Совершенство
40010_1<>Яд-граната
40010_2<>Яд чехол
40010_3<>Токсичность
40010_4<>Ядовитый релиз
40011_1<>Кулачный воин
40011_2<>Падать в обморок
40011_3<>Квалифицированный
40011_4<>Зверь
40012_1<>Глосительная мелодия
40012_2<>Одышка
40012_3<>Критическое молчание
40012_4<>Тихий тег
40013_1<>Играть в
40014_1<>Утомлять
40015_1<>Яд
40015_3<>#VALUE!
40016_1<>Клонировать яд
40016_2<>Атаковать
40017_1<>Ассасин Не нравится
40017_4<>Умение урона вверх
40018_1<>Точная косушка
40018_3<>Чистая природа
40018_4<>Сонная хватка
40019_1<>Убийца мечты
40019_2<>Атаковать
40019_4<>Сонный аспект
40020_1<>Исцеляющий блеск
40020_3<>#VALUE!
40020_4<>Смелость
40021_1<>Бамбуковая стрельба
40021_2<>Прочный
40021_4<>Рип
40022_1<>Серенада
40022_3<>Процветать
40022_4<>Спать
40023_1<>Кровожадший укус
40023_2<>Контр-атака
40023_3<>дикий
40023_4<>Дикая ярость
40024_1<>Токсинская песня
40024_2<>Метлес
40024_3<>Отравление рукой
40024_4<>Tune Rage.
40025_1<>Укрепление заклинания
40025_2<>#VALUE!
40025_4<>Прохождение исцеления
40026_1<>Овладеть
40026_2<>Оздоровительный
40026_3<>Конфеты
50001_1<>Благословение света
50001_2<>Ослабление знака
50001_3<>Заметное заживление
50001_4<>Последнее желание
50002_1<>Священная отметка
50002_2<>Наказание наказания
50002_3<>Святое реинкарнация
50002_4<>Отмеченное благословение
50003_1<>Рвение передачи
50003_2<>В поле зрения
50003_3<>Душа крадет
50003_4<>Возрождение света
50004_1<>Божественный щит
50004_2<>Королевский герб
50004_3<>Изогнутый Талон
50004_4<>Благословение взлетает
50005_1<>Меч света
50005_2<>Щит света
50005_3<>Целевочное расщепление
50005_4<>Пакт сияния
50006_1<>Ошеломляющий глаз
50006_2<>Подпрыгивая искусство
50006_3<>Дополнительные обороты
50006_4<>помешанный
50007_1<>Богиня победы
50007_2<>Дух украл
50007_3<>Спасательный круг
50007_4<>Божественный санкция
50008_1<>Удар молнии
50008_2<>Проводимость
50008_3<>Под напряжением
50008_4<>Электрический релиз
50009_1<>Изгнать темноту
50009_2<>Пронзительный свет
50009_3<>Светлый резонанс
50009_4<>Благословение ангела
50010_1<>Святой Циклон
50010_2<>Контр-атака
50010_3<>Мультистрарт шанс
50010_4<>Карательный свет
50011_1<>Шокирующий свет
50011_2<>Персонал возмездия
50011_3<>#VALUE!
50011_4<>Привязная следствие
50012_1<>Лечебные лезвия
50012_2<>Тело тени
50012_3<>Критическое усиление
50012_4<>Силовой зазор
50013_1<>Задний слепой
50013_2<>Священная доспеха
50013_3<>Щит bash
50013_4<>Отчаянная помощь
50014_1<>Маркер Ассасина
50014_3<>Осознанность
50014_4<>Возбужденный выстрел
50015_1<>Резонансный свет
50015_2<>Свиток Брио
50015_4<>Навык ярости
50016_1<>Заживление заклинания
50017_1<>Над уклоном
50018_1<>Светлый всплеск
50018_4<>Освещение
50019_1<>Исцеляющая молитва
50019_3<>Умение урона вверх
50020_1<>Плата
50020_2<>Щит
50021_1<>Стрелять к кровотечению
50021_4<>Стрелки света
50022_1<>Назад smite.
50022_2<>Волшебная книга
50022_3<>Энергия вверх
50023_1<>Быстрая слеш
50023_3<>Оглушающий шанс
50023_4<>Заживленная защита
50024_1<>Удар щитом
50024_3<>Подходит к
50024_4<>Заживление охраны
50025_1<>Ударные лопатки
50025_2<>Танец лезвия
50025_3<>Дополнительный удар
50026_1<>Критические стрелки
50026_2<>Острый наконечник
50026_3<>#VALUE!
50026_4<>Чистая ярость
60001_1<>Главность шока
60001_2<>Ловкий смысл
60001_3<>Решать
60001_4<>Критический след
60002_1<>#VALUE!
60002_2<>Сварливый
60002_3<>Жизнь понравился
60002_4<>Кровавый авист
60003_1<>Удар мерцания
60003_2<>Кровопускание
60003_3<>Крови Бесеркера
60003_4<>Беспокойная ярость
60004_1<>Фокус отметить
60004_2<>Темная отметка
60004_3<>Отмеченное отрицание
60004_4<>Возмездие
60005_1<>Смерть Марка
60005_2<>Теневая клятва
60005_3<>Духов Дар
60005_4<>Мультиудар
60006_1<>Всплеск фонтана
60006_2<>Флот ноги
60006_3<>Черная роза
60006_4<>Снабжать Ярость
60007_1<>Темный взгляд
60007_2<>Проклятие
60007_3<>Проклятое заживление
60007_4<>Проклятый одолжение
60008_1<>Ударитель Abysm
60008_2<>Ланс рассеяния
60008_3<>Мороз демон
60008_4<>Окончательная форма
60009_1<>Темный шар
60009_2<>Темный Лорд
60009_3<>Отметка болезни
60009_4<>Темный релиз
60010_1<>Проклятие души
60010_2<>Проклятое присутствие
60010_3<>Проклятый яд
60010_4<>Последнее молчание
60011_1<>Рэй коррозии
60011_2<>Гекса
60011_3<>Разрушительный
60011_4<>Среда броня
60012_1<>#VALUE!
60012_2<>Сангвиник коснуться
60012_3<>Критическое кровотечение
60012_4<>Охотник за кровью
60013_1<>Похищение души
60013_2<>Темная броня
60013_3<>Счетчик спирали
60013_4<>Мститель
60014_1<>Фатальные облигации
60014_2<>Скорпион Девушка
60014_4<>Оглушающий шанс
60015_1<>Грызть ворон
60015_3<>Кровоточить пострадавший
60015_4<>Развязан
60016_1<>Zap.
60017_1<>Посмотреть
60018_1<>Заживление мяча
60018_4<>Гнев
60019_1<>Убийство намерения
60019_3<>Критик
60020_1<>Бросать топор
60020_4<>Прочный
60021_1<>Стрелка молчания
60021_2<>Критическое стрельба
60021_3<>Смертельная красота
60022_1<>Скрытое лезвие
60022_3<>Точный
60022_4<>Яд шанс
60023_1<>Удар топора
60023_2<>#VALUE!
60023_4<>Оглушающий шанс
60024_1<>Исцеляющая тень
60024_2<>Заживление
60024_3<>Персонал суждения
60025_1<>Заживление гром
60025_2<>Жизненная сила
60025_4<>Молния щит
60026_1<>Ослабление лампы
60026_2<>Ядовитый мастер
60026_3<>Волшебная лампа
60026_4<>Ядовитый устойчивый
