id,sg_product_id,sg_product_web_id,sungame_ios_package_name,sungame_android_package_name,ios_package_name,android_package_name,res_type,res_id,res_number,res_data,is_selection_pack,slot_id,selection_id,selection_res_type,selection_res_id,selection_res_number,selection_res_data,price,profit,stock,origin_price_pack_id
,,,,,,,3,2015,1,,,,,,,,,,,,
,,,,,,,3,3015,1,,,,,,,,,,,,
,,,,,,,3,4015,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
11,SE051,,com.se.sungame.idle_16,com.sungame.summoner.era.idle_master_blacksmith_3,com.fansipan.summoners.era.idle_16,com.fansipan.summoner.era.idle_master_blacksmith_3,3,1017,1,,FALSE,,,,,,,9.99,1238,1,
,,,,,,,3,2017,1,,,,,,,,,,,,
,,,,,,,3,3017,1,,,,,,,,,,,,
,,,,,,,3,4017,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
12,SE052,,com.se.sungame.idle_17,com.sungame.summoner.era.idle_master_blacksmith_4,com.fansipan.summoners.era.idle_17,com.fansipan.summoner.era.idle_master_blacksmith_4,3,1019,1,,FALSE,,,,,,,9.99,1238,1,
,,,,,,,3,2019,1,,,,,,,,,,,,
,,,,,,,3,3019,1,,,,,,,,,,,,
,,,,,,,3,4019,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
13,SE053,,com.se.sungame.idle_18,com.sungame.summoner.era.idle_master_blacksmith_5,com.fansipan.summoners.era.idle_18,com.fansipan.summoner.era.idle_master_blacksmith_5,3,1021,1,,FALSE,,,,,,,9.99,1238,1,
,,,,,,,3,2021,1,,,,,,,,,,,,
,,,,,,,3,3021,1,,,,,,,,,,,,
,,,,,,,3,4021,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
14,SE054,,com.se.sungame.idle_19,com.sungame.summoner.era.idle_master_blacksmith_6,com.fansipan.summoners.era.idle_19,com.fansipan.summoner.era.idle_master_blacksmith_6,3,1022,1,,FALSE,,,,,,,9.99,1238,1,
,,,,,,,3,2022,1,,,,,,,,,,,,
,,,,,,,3,3022,1,,,,,,,,,,,,
,,,,,,,3,4022,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
15,SE055,,com.se.sungame.idle_20,com.sungame.summoner.era.idle_master_blacksmith_7,com.fansipan.summoners.era.idle_20,com.fansipan.summoner.era.idle_master_blacksmith_7,3,1022,1,,FALSE,,,,,,,9.99,1238,1,
,,,,,,,3,2022,1,,,,,,,,,,,,
,,,,,,,3,3022,1,,,,,,,,,,,,
,,,,,,,3,4022,1,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
16,SE235,WEB_SE235,com.se.sungame.new_flash_sale_01,com.sungame.summoners.era.new_flash_sale_01,com.fansipan.summoners.era.new_flash_sale_01,com.fansipan.summoners.era.new_flash_sale_01,2,51,10,,FALSE,,,,,,,2.99,1700,1,500_4
,,,,,,,17,302,1,,,,,,,,,,,,
,,,,,,,17,303,1,,,,,,,,,,,,
,,,,,,,2,2,150,,,,,,,,,,,,
17,SE236,WEB_SE236,com.se.sungame.new_flash_sale_02,com.sungame.summoners.era.new_flash_sale_02,com.fansipan.summoners.era.new_flash_sale_02,com.fansipan.summoners.era.new_flash_sale_02,13,0,5,5,FALSE,,,,,,,9.99,1000,1,500_5
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
18,SE237,WEB_SE237,com.se.sungame.new_flash_sale_03,com.sungame.summoners.era.new_flash_sale_03,com.fansipan.summoners.era.new_flash_sale_03,com.fansipan.summoners.era.new_flash_sale_03,13,0,5,5,FALSE,,,,,,,49.99,780,1,
,,,,,,,2,51,30,,,,,,,,,,,,
,,,,,,,2,1,2600,,,,,,,,,,,,
,,,,,,,2,2,2500,,,,,,,,,,,,
19,SE238,WEB_SE238,com.se.sungame.new_flash_sale_04,com.sungame.summoners.era.new_flash_sale_04,com.fansipan.summoners.era.new_flash_sale_04,com.fansipan.summoners.era.new_flash_sale_04,2,0,500000,,FALSE,,,,,,,0.99,1000,1,500_2
,,,,,,,2,80,3000,,,,,,,,,,,,
,,,,,,,2,2,50,,,,,,,,,,,,
20,SE239,WEB_SE239,com.se.sungame.new_flash_sale_05,com.sungame.summoners.era.new_flash_sale_05,com.fansipan.summoners.era.new_flash_sale_05,com.fansipan.summoners.era.new_flash_sale_05,2,30,10,,FALSE,,,,,,,0.99,1000,1,500_2
,,,,,,,2,0,200000,,,,,,,,,,,,
,,,,,,,2,1,50,,,,,,,,,,,,
,,,,,,,2,2,50,,,,,,,,,,,,
21,SE240,WEB_SE240,com.se.sungame.new_flash_sale_06,com.sungame.summoners.era.new_flash_sale_06,com.fansipan.summoners.era.new_flash_sale_06,com.fansipan.summoners.era.new_flash_sale_06,2,31,10,,FALSE,,,,,,,9.99,1000,1,500_5
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
22,SE241,WEB_SE241,com.se.sungame.new_flash_sale_07,com.sungame.summoners.era.new_flash_sale_07,com.fansipan.summoners.era.new_flash_sale_07,com.fansipan.summoners.era.new_flash_sale_07,2,11,2000,,FALSE,,,,,,,0.99,1500,1,502_3
,,,,,,,17,202,4,,,,,,,,,,,,
,,,,,,,17,203,4,,,,,,,,,,,,
,,,,,,,2,2,50,,,,,,,,,,,,
23,SE256,WEB_SE256,com.se.sungame.new_starter_pack_01,com.sungame.summoners.era.new_starter_pack_01,com.fansipan.summoners.new_starter_pack_01,com.fansipan.summoners.new_starter_pack_01,3,1022,1,,FALSE,,,,,,,9.99,904,1,
,,,,,,,3,2022,1,,,,,,,,,,,,
,,,,,,,3,3022,1,,,,,,,,,,,,
,,,,,,,3,4022,1,,,,,,,,,,,,
,,,,,,,2,10,100000,,,,,,,,,,,,
,,,,,,,2,1,500,,,,,,,,,,,,
,,,,,,,2,2,500,,,,,,,,,,,,
24,SE257,WEB_SE257,com.se.sungame.new_starter_pack_02,com.sungame.summoners.era.new_starter_pack_02,com.fansipan.summoners.new_starter_pack_02,com.fansipan.summoners.new_starter_pack_02,2,51,40,,FALSE,,,,,,,19.99,904,1,
,,,,,,,2,0,500000,,,,,,,,,,,,
,,,,,,,2,1,1000,,,,,,,,,,,,
,,,,,,,2,2,1000,,,,,,,,,,,,
25,SE258,WEB_SE258,com.se.sungame.new_starter_pack_03,com.sungame.summoners.era.new_starter_pack_03,com.fansipan.summoners.new_starter_pack_03,com.fansipan.summoners.new_starter_pack_03,2,1,2600,,TRUE,1,1,7,1000405,50,,49.99,904,1,
,,,,,,,2,2,2500,,,,2,7,2000105,50,,,,,
,,,,,,,,,,,,,3,7,3000605,50,,,,,
,,,,,,,,,,,,,4,7,4000805,50,,,,,
,,,,,,,,,,,,2,1,4,48001,1,,,,,
,,,,,,,,,,,,,2,4,65001,1,,,,,
,,,,,,,,,,,,,3,4,82001,1,,,,,
,,,,,,,,,,,,,4,4,99001,1,,,,,
