bot_id,elo,define_summoner_id,id_team_level,id_team_star,formation_id,hero_1,hero_2,hero_3,hero_4,hero_5,boss_slot,id_team_item,id_team_mastery
52,1115,5,2672,454,4,40021,50023,60014,50018,20023,-1,,
53,1125,2,2773,454,3,50016,10023,30012,50019,50016,-1,,
54,1135,3,2874,454,4,10026,50019,40025,30023,40012,-1,,
55,1145,4,2975,454,3,40023,10017,50024,40021,10025,-1,,
56,1155,5,3076,454,4,20013,30024,60018,30026,10023,-1,,
57,1165,2,1577,454,3,30018,60012,50022,10015,30021,-1,,
58,1175,3,1678,454,4,40024,60024,30022,10014,50014,-1,,
59,1185,4,1779,454,3,30020,50005,10017,30022,50024,-1,,
60,1195,5,1880,454,4,40018,20022,20024,30022,20021,-1,,
61,1205,2,1981,454,3,10025,20016,20025,20011,60016,-1,,
62,1215,3,2082,454,4,50018,50005,60017,50023,20023,-1,,
63,1225,4,2183,454,3,60025,10025,10023,30021,10019,-1,,
64,1235,5,2284,454,4,40024,10022,30023,20019,50019,-1,,
65,1245,2,2385,454,3,30016,30014,40016,10020,50020,-1,,
66,1255,3,2486,454,4,60021,60026,50017,40021,50014,-1,,
67,1265,4,2587,454,3,60021,20024,20012,60022,50018,-1,,
68,1275,5,2688,454,4,50022,60022,20026,20013,50022,-1,,
69,1285,2,2789,454,3,50017,20013,30018,10022,30021,-1,,
70,1295,3,2890,454,4,10020,30023,40022,60023,40020,-1,,
71,1305,4,2991,454,3,30019,30015,60022,60024,30012,-1,,
72,1315,5,3092,454,4,10018,30017,10025,30020,20023,-1,,
73,1325,2,1593,454,3,30015,40023,40018,20013,30026,-1,,
74,1335,3,1694,454,4,30018,30022,20015,40024,30025,-1,,
75,1345,4,1795,454,3,40020,40023,40025,40022,60026,-1,,
76,1355,5,1896,454,4,10021,50026,60023,40016,50017,-1,,
77,1365,2,1997,454,3,10016,50020,40021,10025,40018,-1,,
78,1375,3,2098,454,4,30016,40012,20018,10013,20013,-1,,
79,1385,4,2199,454,3,10017,50025,60024,50023,30015,-1,,
80,1395,5,2300,454,4,20021,10026,30024,40014,50025,-1,,
81,1405,2,2601,454,3,40013,50015,30022,10021,10018,-1,,
82,1415,3,2702,454,4,10014,40023,40020,40022,40025,-1,,
83,1425,4,2803,454,3,50020,50005,60017,60026,60019,-1,,
84,1435,5,2904,454,4,10023,20022,20017,60014,20017,-1,,
85,1445,2,3005,454,3,40015,30023,10023,60023,30024,-1,,
86,1455,3,3106,454,4,40019,20023,20015,30019,10014,-1,,
87,1465,4,3207,454,3,50024,50022,40019,10018,50005,-1,,
88,1475,5,3308,454,4,40024,40013,60018,60017,60017,-1,,
89,1485,2,3409,454,3,20013,20015,30018,50025,40025,-1,,
90,1495,3,3510,454,4,50015,10006,30025,50026,30018,-1,,
91,1505,4,3611,454,1,60016,50014,40022,60025,30025,-1,,
92,1515,5,3712,454,2,60014,30019,50013,20023,40024,-1,,
93,1525,2,3813,454,3,10018,50026,10024,40016,50016,-1,,
94,1535,3,3914,454,4,20015,10006,30026,30016,30013,-1,,
95,1545,4,4015,454,1,30022,50019,40026,60022,50017,-1,,
96,1555,5,4116,454,2,50005,40025,50017,20011,30019,-1,,
97,1565,2,2617,454,3,40019,60012,30013,10022,20020,-1,,
98,1575,3,2718,454,4,10018,10013,60017,10022,20015,-1,,
99,1585,4,2819,454,1,50016,60013,40021,30020,20012,-1,,
100,1595,5,2920,454,2,40017,50022,10006,30014,40024,-1,,
101,1605,2,3021,454,3,60013,40025,30013,10013,50015,-1,,
102,1615,3,3122,454,4,60020,50017,50023,20023,50022,-1,,
103,1625,4,3223,454,1,60015,30018,30019,20021,30016,-1,,
104,1635,5,3324,454,2,50017,50026,60021,50024,50026,-1,,
105,1645,2,3425,454,3,40021,60012,40025,30015,50020,-1,,
106,1655,3,3526,454,4,30026,50018,50019,60024,20011,-1,,
107,1665,4,3627,454,1,50016,50013,10013,60024,40023,-1,,
108,1675,5,3728,454,2,20016,30020,60014,30022,30019,-1,,
109,1685,2,3829,454,3,10015,20015,30017,60018,10006,-1,,
110,1695,3,3930,454,4,50022,30015,40017,40014,60021,-1,,
111,1705,4,4031,454,1,10017,30025,10016,30016,60013,-1,,
112,1715,5,4132,454,2,60016,60017,60014,50005,20020,-1,,
113,1725,2,2633,454,3,50014,40013,60013,30023,40020,-1,,
114,1735,3,2734,454,4,20024,10025,40016,60026,40016,-1,,
115,1745,4,2835,454,1,20016,30012,10019,20011,50017,-1,,
116,1750,5,2936,454,2,40001,30014,30019,20012,10015,-1,,
117,1755,2,3037,454,3,30013,30011,10002,40022,30004,-1,,
118,1760,3,3138,454,4,10003,60009,50012,40001,50015,-1,,
119,1765,4,3239,454,1,10018,10012,10012,30010,20012,-1,,
120,1770,5,3340,454,2,20007,40022,60009,10017,50009,-1,,
121,1775,2,2817,454,3,40023,10009,50025,50008,60026,-1,,
122,1780,3,2918,454,4,60013,30009,60001,50012,40012,-1,,
123,1785,4,3019,454,1,20010,50012,10010,10006,50008,-1,,
124,1790,5,3120,454,2,60015,40009,10003,30004,30018,-1,,
125,1795,2,3221,454,3,60009,60001,60014,30020,50025,-1,,
126,1800,3,3322,454,4,10012,50026,60002,40009,50014,-1,,
127,1805,4,3423,454,1,60015,40011,50005,50015,40010,-1,,
128,1810,5,3524,454,2,50015,50014,40026,50015,40026,-1,,
129,1815,2,3625,454,3,60009,50013,50012,50026,20004,-1,,
130,1820,3,3726,454,4,30011,60009,50026,40005,10002,-1,,
131,1825,4,3827,454,1,30019,10017,10010,20005,30018,-1,,
132,1830,5,3928,454,2,30012,40009,20014,60002,10002,-1,,
133,1835,2,4029,454,3,60014,60011,30004,20012,30014,-1,,
134,1840,3,4130,454,4,20010,50009,20012,20025,40001,-1,,
135,1845,4,4231,454,1,10017,40022,30014,60013,50008,-1,,
136,1850,5,4332,454,2,40022,40011,40005,30013,30009,-1,,
137,1855,2,2833,454,3,60013,40001,50026,50014,10016,-1,,
138,1860,3,2934,454,4,30019,40012,50005,60009,20014,-1,,
139,1865,4,3035,454,1,20011,40011,50026,30013,20014,-1,,
140,1870,5,3136,454,2,20012,20026,30019,20016,30019,-1,,
141,1875,2,3237,454,3,20005,30011,60015,30012,40024,-1,,
142,1880,3,3338,454,4,30019,50009,20005,30014,30009,-1,,
143,1885,4,3439,454,1,40024,10017,20004,40009,20014,-1,,
144,1890,5,3540,454,2,40022,20010,60012,10015,30011,-1,,
145,1895,2,3017,454,3,50008,60011,10013,50009,30012,-1,,
146,1900,3,3118,454,4,10015,40025,30010,30013,40025,-1,,
147,1905,4,3219,454,1,10010,60014,20012,10015,20011,-1,,
148,1910,5,3320,454,2,20024,20026,10016,10016,20012,-1,,
149,1915,2,3421,454,3,60015,30019,50001,60021,60002,-1,,
150,1920,3,3522,454,4,40009,50005,30004,50026,10002,-1,,
151,1925,4,3623,454,1,10015,60026,60021,30020,10016,-1,,
152,1930,5,3724,454,2,30019,60002,20007,20014,60011,-1,,
153,1935,2,3825,454,3,10010,30004,20005,40024,50025,-1,,
154,1940,3,3926,454,4,30018,20024,60014,10002,50025,-1,,
155,1945,4,4027,454,1,10018,50014,10012,50010,50025,-1,,
156,1950,5,4128,454,2,20016,30012,40001,30013,30013,-1,,
157,1955,2,4229,454,3,50008,60012,10017,40011,20004,-1,,
158,1960,3,4330,454,4,10003,60013,50008,50015,10017,-1,,
159,1965,4,4431,454,1,50001,20014,40022,20025,30009,-1,,
160,1970,5,4532,454,2,20026,20024,10010,20012,40012,-1,,
161,1795,2,3146,454,1,60009,50001,40023,30013,60013,-1,,
162,1800,3,3247,454,2,30013,20004,50013,30009,40026,-1,,
163,1805,4,3348,454,3,20010,40026,20016,50001,50001,-1,,
164,1810,5,3449,454,4,20011,20016,20004,50005,60021,-1,,
165,1815,2,3550,454,1,40025,50012,10010,30002,20016,-1,,
166,1820,3,3027,454,2,50012,30011,60007,40001,20005,-1,,
167,1825,4,3128,454,3,20004,30019,30014,40012,50014,-1,,
168,1830,5,3229,454,4,10002,60026,30020,60014,10010,-1,,
169,1835,2,3330,454,1,40024,40005,60026,50015,10009,-1,,
170,1840,3,3431,454,2,20026,20004,60015,10002,20012,-1,,
171,1845,4,3532,454,3,10016,50009,20025,20004,20010,-1,,
172,1850,5,3633,454,4,30020,10013,40010,20025,60013,-1,,
173,1855,2,3734,454,1,50009,40022,20007,60001,50010,-1,,
174,1860,3,3835,454,2,10018,50005,30018,50026,30018,-1,,
175,1865,4,3936,454,3,60021,40025,60012,10018,10009,-1,,
176,1870,5,4037,454,4,30013,10002,20004,10012,10016,-1,,
177,1875,2,4138,454,1,30009,60015,10003,30011,60007,-1,,
178,1880,3,4239,454,2,10016,40026,20014,40011,30013,-1,,
179,1885,4,4340,454,3,40011,50008,30013,10003,20004,-1,,
180,1890,5,4441,454,4,60002,40012,30009,50025,50010,-1,,
181,1895,2,4542,454,1,40001,10015,50026,40012,60011,-1,,
182,1900,3,3156,454,2,40009,20014,40012,20011,40026,-1,,
183,1905,4,3257,454,3,40011,50001,30019,50012,30004,-1,,
184,1910,5,3358,454,4,20010,50005,20016,20012,40024,-1,,
185,1915,2,3459,454,1,30019,40001,60007,30010,40011,-1,,
186,1920,3,3560,454,2,20007,60007,30009,10015,10006,-1,,
187,1925,4,3037,454,3,60001,60009,20010,50013,10010,-1,,
188,1930,5,3138,454,4,30014,50025,50008,50001,30011,-1,,
189,1935,2,3239,454,1,10016,60014,60012,10006,10012,-1,,
190,1940,3,3340,454,2,40009,40010,60026,20007,40026,-1,,
191,1945,4,3441,454,3,50009,40005,30014,40022,60013,-1,,
192,1950,5,3542,454,4,40010,40024,20014,20026,10009,-1,,
193,1955,2,3643,454,1,30014,10018,60009,20026,60009,-1,,
194,1960,3,3744,454,2,50014,50005,60026,10015,60007,-1,,
195,1965,4,3845,454,3,30009,30012,30014,40011,40024,-1,,
