bot_id,elo,define_summoner_id,id_team_level,id_team_star,formation_id,hero_1,hero_2,hero_3,hero_4,hero_5,boss_slot,id_team_item,id_team_mastery
,,5,1880,454,4,40018,20022,20024,30022,20021,-1,,
17,1200,2,1981,454,3,10025,20016,20025,20011,60016,-1,,
,,3,2082,454,4,50018,50005,60017,50023,20023,-1,,
,,4,2183,454,3,60025,10025,10023,30021,10019,-1,,
18,1225,5,2284,454,4,40024,10022,30023,20019,50019,-1,,
,,2,2385,454,3,30016,30014,40016,10020,50020,-1,,
,,3,2486,454,4,60021,60026,50017,40021,50014,-1,,
19,1250,4,2587,454,3,60021,20024,20012,60022,50018,-1,,
,,5,2688,454,4,50022,60022,20026,20013,50022,-1,,
,,2,2789,454,3,50017,20013,30018,10022,30021,-1,,
20,1275,3,2890,454,4,10020,30023,40022,60023,40020,-1,,
,,4,2991,454,3,30019,30015,60022,60024,30012,-1,,
,,5,3092,454,4,10018,30017,10025,30020,20023,-1,,
21,1300,2,1593,454,3,30015,40023,40018,20013,30026,-1,,
,,3,1694,454,4,30018,30022,20015,40024,30025,-1,,
,,4,1795,454,3,40020,40023,40025,40022,60026,-1,,
22,1325,5,1896,454,4,10021,50026,60023,40016,50017,-1,,
,,2,1997,454,3,10016,50020,40021,10025,40018,-1,,
,,3,2098,454,4,30016,40012,20018,10013,20013,-1,,
23,1350,4,2199,454,3,10017,50025,60024,50023,30015,-1,,
,,5,2300,454,4,20021,10026,30024,40014,50025,-1,,
,,2,2601,454,3,40013,50015,30022,10021,10018,-1,,
24,1375,3,2702,454,4,10014,40023,40020,40022,40025,-1,,
,,4,2803,454,3,50020,50005,60017,60026,60019,-1,,
,,5,2904,454,4,10023,20022,20017,60014,20017,-1,,
25,1400,2,3005,454,3,40015,30023,10023,60023,30024,-1,,
,,3,3106,454,4,40019,20023,20015,30019,10014,-1,,
,,4,3207,454,3,50024,50022,40019,10018,50005,-1,,
26,1425,5,3308,454,4,40024,40013,60018,60017,60017,-1,,
,,2,3409,454,3,20013,20015,30018,50025,40025,-1,,
,,3,3510,454,4,50015,10006,30025,50026,30018,-1,,
27,1450,4,3611,454,1,60016,50014,40022,60025,30025,-1,,
,,5,3712,454,2,60014,30019,50013,20023,40024,-1,,
,,2,3813,454,3,10018,50026,10024,40016,50016,-1,,
28,1475,3,3914,454,4,20015,10006,30026,30016,30013,-1,,
,,4,4015,454,1,30022,50019,40026,60022,50017,-1,,
,,5,4116,454,2,50005,40025,50017,20011,30019,-1,,
29,1500,2,2617,454,3,40019,60012,30013,10022,20020,-1,,
,,3,2718,454,4,10018,10013,60017,10022,20015,-1,,
,,4,2819,454,1,50016,60013,40021,30020,20012,-1,,
30,1525,5,2920,454,2,40017,50022,10006,30014,40024,-1,,
,,2,3021,454,3,60013,40025,30013,10013,50015,-1,,
,,3,3122,454,4,60020,50017,50023,20023,50022,-1,,
31,1550,4,3223,454,1,60015,30018,30019,20021,30016,-1,,
,,5,3324,454,2,50017,50026,60021,50024,50026,-1,,
,,2,3425,454,3,40021,60012,40025,30015,50020,-1,,
32,1575,3,3526,454,4,30026,50018,50019,60024,20011,-1,,
,,4,3627,454,1,50016,50013,10013,60024,40023,-1,,
,,5,3728,454,2,20016,30020,60014,30022,30019,-1,,
33,1600,2,3829,454,3,10015,20015,30017,60018,10006,-1,,
,,3,3930,454,4,50022,30015,40017,40014,60021,-1,,
,,4,4031,454,1,10017,30025,10016,30016,60013,-1,,
34,1625,5,4132,454,2,60016,60017,60014,50005,20020,-1,,
,,2,2633,454,3,50014,40013,60013,30023,40020,-1,,
,,3,2734,454,4,20024,10025,40016,60026,40016,-1,,
35,1650,4,2835,454,1,20016,30012,10019,20011,50017,-1,,
,,5,2936,454,2,40001,30014,30019,20012,10015,-1,,
,,2,3037,454,3,30013,30011,10002,40022,30004,-1,,
36,1675,3,3138,454,4,10003,60009,50012,40001,50015,-1,,
,,4,3239,454,1,10018,10012,10012,30010,20012,-1,,
,,5,3340,454,2,20007,40022,60009,10017,50009,-1,,
37,1700,2,2817,454,3,40023,10009,50025,50008,60026,-1,,
,,3,2918,454,4,60013,30009,60001,50012,40012,-1,,
,,4,3019,454,1,20010,50012,10010,10006,50008,-1,,
38,1725,5,3120,454,2,60015,40009,10003,30004,30018,-1,,
,,2,3221,454,3,60009,60001,60014,30020,50025,-1,,
,,3,3322,454,4,10012,50026,60002,40009,50014,-1,,
39,1750,4,3423,454,1,60015,40011,50005,50015,40010,-1,,
,,5,3524,454,2,50015,50014,40026,50015,40026,-1,,
,,2,3625,454,3,60009,50013,50012,50026,20004,-1,,
40,1775,3,3726,454,4,30011,60009,50026,40005,10002,-1,,
,,4,3827,454,1,30019,10017,10010,20005,30018,-1,,
,,5,3928,454,2,30012,40009,20014,60002,10002,-1,,
41,1800,2,4029,454,3,60014,60011,30004,20012,30014,-1,,
,,3,4130,454,4,20010,50009,20012,20025,40001,-1,,
,,4,4231,454,1,10017,40022,30014,60013,50008,-1,,
42,1825,5,4332,454,2,40022,40011,40005,30013,30009,-1,,
,,2,2833,454,3,60013,40001,50026,50014,10016,-1,,
,,3,2934,454,4,30019,40012,50005,60009,20014,-1,,
43,1850,4,3035,454,1,20011,40011,50026,30013,20014,-1,,
,,5,3136,454,2,20012,20026,30019,20016,30019,-1,,
,,2,3237,454,3,20005,30011,60015,30012,40024,-1,,
44,1875,3,3338,454,4,30019,50009,20005,30014,30009,-1,,
,,4,3439,454,1,40024,10017,20004,40009,20014,-1,,
,,5,3540,454,2,40022,20010,60012,10015,30011,-1,,
45,1900,2,3017,454,3,50008,60011,10013,50009,30012,-1,,
,,3,3118,454,4,10015,40025,30010,30013,40025,-1,,
,,4,3219,454,1,10010,60014,20012,10015,20011,-1,,
46,1925,5,3320,454,2,20024,20026,10016,10016,20012,-1,,
,,2,3421,454,3,60015,30019,50001,60021,60002,-1,,
,,3,3522,454,4,40009,50005,30004,50026,10002,-1,,
47,1950,4,3623,454,1,10015,60026,60021,30020,10016,-1,,
,,5,3724,454,2,30019,60002,20007,20014,60011,-1,,
,,2,3825,454,3,10010,30004,20005,40024,50025,-1,,
48,1975,3,3926,454,4,30018,20024,60014,10002,50025,-1,,
,,4,4027,454,1,10018,50014,10012,50010,50025,-1,,
,,5,4128,454,2,20016,30012,40001,30013,30013,-1,,
49,2000,2,4229,454,3,50008,60012,10017,40011,20004,-1,,
,,3,4330,454,4,10003,60013,50008,50015,10017,-1,,
,,4,4431,454,1,50001,20014,40022,20025,30009,-1,,
50,2025,5,4532,454,2,20026,20024,10010,20012,40012,-1,,
,,2,3146,454,1,60009,50001,40023,30013,60013,-1,,
,,3,3247,454,2,30013,20004,50013,30009,40026,-1,,
51,2050,4,3348,454,3,20010,40026,20016,50001,50001,-1,,
,,5,3449,454,4,20011,20016,20004,50005,60021,-1,,
,,2,3550,454,1,40025,50012,10010,30002,20016,-1,,
52,2075,3,3027,454,2,50012,30011,60007,40001,20005,-1,,
,,4,3128,454,3,20004,30019,30014,40012,50014,-1,,
,,5,3229,454,4,10002,60026,30020,60014,10010,-1,,
53,2100,2,3330,454,1,40024,40005,60026,50015,10009,-1,,
,,3,3431,454,2,20026,20004,60015,10002,20012,-1,,
,,4,3532,454,3,10016,50009,20025,20004,20010,-1,,
54,2125,5,3633,454,4,30020,10013,40010,20025,60013,-1,,
,,2,3734,454,1,50009,40022,20007,60001,50010,-1,,
,,3,3835,454,2,10018,50005,30018,50026,30018,-1,,
55,2150,4,3936,454,3,60021,40025,60012,10018,10009,-1,,
,,5,4037,454,4,30013,10002,20004,10012,10016,-1,,
,,2,4138,454,1,30009,60015,10003,30011,60007,-1,,
56,2175,3,4239,454,2,10016,40026,20014,40011,30013,-1,,
,,4,4340,454,3,40011,50008,30013,10003,20004,-1,,
,,5,4441,454,4,60002,40012,30009,50025,50010,-1,,
57,2200,2,4542,454,1,40001,10015,50026,40012,60011,-1,,
,,3,4156,454,2,40009,20014,40012,20011,40026,-1,,
,,4,4257,454,3,40011,50001,30019,50012,30004,-1,,
58,2225,5,4358,454,4,20010,50005,20016,20012,40024,-1,,
,,2,4459,454,1,30019,40001,60007,30010,40011,-1,,
,,3,4560,454,2,20007,60007,30009,10015,10006,-1,,
59,2250,4,4037,454,3,60001,60009,20010,50013,10010,-1,,
,,5,4638,454,4,30014,50025,50008,50001,30011,-1,,
,,2,4239,454,1,10016,60014,60012,10006,10012,-1,,
60,2275,3,4340,454,2,40009,40010,60026,20007,40026,-1,,
,,4,4441,454,3,50009,40005,30014,40022,60013,-1,,
,,5,4542,454,4,40010,40024,20014,20026,10009,-1,,
61,2300,2,4643,454,1,30014,10018,60009,20026,60009,-1,,
,,3,4744,454,2,50014,50005,60026,10015,60007,-1,,
,,4,4845,454,3,30009,30012,30014,40011,40024,-1,,
62,2325,2,5000,453,4,40013,20017,40019,50022,10026,-1,,
,,3,5221,453,4,20021,30023,40024,10016,20015,-1,,
,,5,5476,453,4,10017,40022,60026,30013,50019,-1,,
63,2350,3,5122,453,4,30015,20022,60017,20013,30022,-1,,
,,4,5223,453,4,30025,60022,30016,40017,40013,-1,,
,,2,5324,453,4,30025,10019,60022,30015,60017,-1,,
64,2375,3,5225,453,4,40019,20022,60017,20022,40019,-1,,
,,3,5326,453,4,10024,20018,10025,60016,60016,-1,,
,,2,5127,453,4,20019,30024,50019,10014,10026,-1,,
65,2400,2,5331,453,4,20022,40018,30026,10022,20018,-1,,
,,2,5432,453,4,30024,10020,50023,40020,60024,-1,,
,,4,5233,453,4,30023,60016,50022,40020,10020,-1,,
66,2425,3,5437,453,4,20013,40016,30015,60019,50020,-1,,
,,2,5638,453,4,50018,10020,20017,50017,60025,-1,,
,,1,5739,453,4,40017,60019,50018,30015,60016,-1,,
67,2450,3,5143,453,4,40013,10022,50024,40020,60025,-1,,
,,3,5444,453,4,30016,50020,50023,50016,60016,-1,,
,,3,5745,453,4,40020,60023,40018,20022,10014,-1,,
68,2475,2,5446,453,4,20015,10019,60016,30015,10022,-1,,
,,4,5547,453,4,10021,60022,10026,40019,40013,-1,,
,,5,5848,453,4,50024,30017,10023,10019,40014,-1,,
69,2500,2,5849,453,4,60022,30021,20017,10019,10014,-1,,
,,3,5950,453,4,50023,10014,50020,60022,30026,-1,,
,,5,6151,453,4,10024,40016,40018,60019,10026,-1,,
