stage1,stage,exp_train,res_type,res_id,res_number
,,,8,0,158
403006,403010,4,2,0,238
,,,2,10,119
,,,8,0,159
403011,403015,4,2,0,240
,,,2,10,120
,,,8,0,160
403016,403020,4,2,0,242
,,,2,10,121
,,,8,0,161
403021,403025,4,2,0,244
,,,2,10,122
,,,8,0,162
403026,403030,4,2,0,246
,,,2,10,123
,,,8,0,163
403031,403035,4,2,0,248
,,,2,10,124
,,,8,0,164
404001,404005,4,2,0,250
,,,2,10,125
,,,8,0,165
404006,404010,4,2,0,252
,,,2,10,126
,,,8,0,166
404011,404015,4,2,0,254
,,,2,10,127
,,,8,0,167
404016,404020,4,2,0,256
,,,2,10,128
,,,8,0,168
404021,404025,4,2,0,258
,,,2,10,129
,,,8,0,169
404026,404030,4,2,0,260
,,,2,10,130
,,,8,0,170
404031,404035,4,2,0,262
,,,2,10,131
,,,8,0,171
405001,405005,4,2,0,264
,,,2,10,132
,,,8,0,172
405006,405010,4,2,0,266
,,,2,10,133
,,,8,0,173
405011,405015,4,2,0,268
,,,2,10,134
,,,8,0,174
405016,405020,4,2,0,270
,,,2,10,135
,,,8,0,175
405021,405025,4,2,0,272
,,,2,10,136
,,,8,0,176
405026,405030,4,2,0,274
,,,2,10,137
,,,8,0,177
405031,405035,4,2,0,276
,,,2,10,138
,,,8,0,178
405036,405040,4,2,0,278
,,,2,10,139
,,,8,0,179
406001,406005,4,2,0,280
,,,2,10,140
,,,8,0,180
406006,406010,4,2,0,282
,,,2,10,141
,,,8,0,181
406011,406015,4,2,0,284
,,,2,10,142
,,,8,0,182
406016,406020,4,2,0,286
,,,2,10,143
,,,8,0,183
406021,406025,4,2,0,288
,,,2,10,144
,,,8,0,184
406026,406030,4,2,0,290
,,,2,10,145
,,,8,0,185
406031,406035,4,2,0,292
,,,2,10,146
,,,8,0,186
406036,406040,4,2,0,294
,,,2,10,147
,,,8,0,187
406041,406045,4,2,0,296
,,,2,10,148
,,,8,0,188
406046,406050,4,2,0,298
,,,2,10,149
,,,8,0,189
407001,407005,4,2,0,300
,,,2,10,150
,,,8,0,190
407006,407010,4,2,0,302
,,,2,10,151
,,,8,0,191
407011,407015,4,2,0,304
,,,2,10,152
,,,8,0,192
407016,407020,4,2,0,306
,,,2,10,153
,,,8,0,193
407021,407025,4,2,0,308
,,,2,10,154
,,,8,0,194
407026,407030,4,2,0,310
,,,2,10,155
,,,8,0,195
407031,407035,4,2,0,312
,,,2,10,156
,,,8,0,196
407036,407040,4,2,0,314
,,,2,10,157
,,,8,0,197
407041,407045,4,2,0,316
,,,2,10,158
,,,8,0,198
407046,407050,4,2,0,318
,,,2,10,159
,,,8,0,199
408001,408005,4,2,0,320
,,,2,10,160
,,,8,0,200
408006,408010,4,2,0,322
,,,2,10,161
,,,8,0,201
408011,408015,4,2,0,324
,,,2,10,162
,,,8,0,202
408016,408020,4,2,0,326
,,,2,10,163
,,,8,0,203
408021,408025,4,2,0,328
,,,2,10,164
,,,8,0,204
408026,408030,4,2,0,330
,,,2,10,165
,,,8,0,205
408031,408035,4,2,0,332
,,,2,10,166
,,,8,0,206
408036,408040,4,2,0,334
,,,2,10,167
,,,8,0,207
408041,408045,4,2,0,336
,,,2,10,168
,,,8,0,208
408046,408050,4,2,0,338
,,,2,10,169
,,,8,0,209
408051,408055,4,2,0,340
,,,2,10,170
,,,8,0,210
501001,501005,5,2,0,342
,,,2,10,171
,,,8,0,211
501006,501010,5,2,0,344
,,,2,10,172
,,,8,0,212
501011,501015,5,2,0,346
,,,2,10,173
,,,8,0,213
501016,501020,5,2,0,348
,,,2,10,174
,,,8,0,214
501021,501025,5,2,0,350
,,,2,10,175
,,,8,0,215
501026,501030,5,2,0,352
,,,2,10,176
,,,8,0,216
502001,502005,5,2,0,354
,,,2,10,177
,,,8,0,217
502006,502010,5,2,0,356
,,,2,10,178
,,,8,0,218
502011,502015,5,2,0,358
,,,2,10,179
,,,8,0,219
502016,502020,5,2,0,360
,,,2,10,180
,,,8,0,220
502021,502025,5,2,0,362
,,,2,10,181
,,,8,0,221
502026,502030,5,2,0,364
,,,2,10,182
,,,8,0,222
502031,502035,5,2,0,366
,,,2,10,183
,,,8,0,223
503001,503005,5,2,0,368
,,,2,10,184
,,,8,0,224
503006,503010,5,2,0,370
,,,2,10,185
,,,8,0,225
503011,503015,5,2,0,372
,,,2,10,186
,,,8,0,226
503016,503020,5,2,0,374
,,,2,10,187
,,,8,0,227
503021,503025,5,2,0,376
,,,2,10,188
,,,8,0,228
503026,503030,5,2,0,378
,,,2,10,189
,,,8,0,229
503031,503035,5,2,0,380
,,,2,10,190
,,,8,0,230
503036,503040,5,2,0,382
,,,2,10,191
,,,8,0,231
504001,504005,5,2,0,384
,,,2,10,192
,,,8,0,232
504006,504010,5,2,0,386
,,,2,10,193
,,,8,0,233
504011,504015,5,2,0,388
,,,2,10,194
,,,8,0,234
504016,504020,5,2,0,390
,,,2,10,195
,,,8,0,235
504021,504025,5,2,0,392
,,,2,10,196
,,,8,0,236
504026,504030,5,2,0,394
,,,2,10,197
,,,8,0,237
504031,504035,5,2,0,396
,,,2,10,198
,,,8,0,238
504036,504040,5,2,0,398
,,,2,10,199
,,,8,0,239
504041,504045,5,2,0,400
,,,2,10,200
,,,8,0,240
505001,505005,5,2,0,402
,,,2,10,201
,,,8,0,241
505006,505010,5,2,0,404
,,,2,10,202
,,,8,0,242
505011,505015,5,2,0,406
,,,2,10,203
,,,8,0,243
505016,505020,5,2,0,408
,,,2,10,204
,,,8,0,244
505021,505025,5,2,0,410
,,,2,10,205
,,,8,0,245
505026,505030,5,2,0,412
,,,2,10,206
,,,8,0,246
505031,505035,5,2,0,414
,,,2,10,207
,,,8,0,247
505036,505040,5,2,0,416
,,,2,10,208
,,,8,0,248
505041,505045,5,2,0,418
,,,2,10,209
,,,8,0,249
505046,505050,5,2,0,420
,,,2,10,210
,,,8,0,250
506001,506005,5,2,0,422
,,,2,10,211
,,,8,0,251
506006,506010,5,2,0,424
,,,2,10,212
,,,8,0,252
506011,506015,5,2,0,426
,,,2,10,213
,,,8,0,253
506016,506020,5,2,0,428
,,,2,10,214
,,,8,0,254
506021,506025,5,2,0,430
,,,2,10,215
,,,8,0,255
506026,506030,5,2,0,432
,,,2,10,216
,,,8,0,256
506031,506035,5,2,0,434
,,,2,10,217
,,,8,0,257
506036,506040,5,2,0,436
,,,2,10,218
,,,8,0,258
506041,506045,5,2,0,438
,,,2,10,219
,,,8,0,259
506046,506050,5,2,0,440
,,,2,10,220
,,,8,0,260
507001,507005,5,2,0,442
,,,2,10,221
,,,8,0,261
507006,507010,5,2,0,444
,,,2,10,222
,,,8,0,262
507011,507015,5,2,0,446
,,,2,10,223
,,,8,0,263
507016,507020,5,2,0,448
,,,2,10,224
,,,8,0,264
507021,507025,5,2,0,450
,,,2,10,225
,,,8,0,265
507026,507030,5,2,0,452
,,,2,10,226
,,,8,0,266
507031,507035,5,2,0,454
,,,2,10,227
,,,8,0,267
507036,507040,5,2,0,456
,,,2,10,228
,,,8,0,268
507041,507045,5,2,0,458
,,,2,10,229
,,,8,0,269
507046,507050,5,2,0,460
,,,2,10,230
,,,8,0,270
507051,507055,5,2,0,462
,,,2,10,231
,,,8,0,271
508001,508005,5,2,0,464
,,,2,10,232
,,,8,0,272
508006,508010,5,2,0,466
,,,2,10,233
,,,8,0,273
508011,508015,5,2,0,468
,,,2,10,234
,,,8,0,274
508016,508020,5,2,0,470
,,,2,10,235
,,,8,0,275
508021,508025,5,2,0,472
,,,2,10,236
,,,8,0,276
508026,508030,5,2,0,474
,,,2,10,237
,,,8,0,277
508031,508035,5,2,0,476
,,,2,10,238
,,,8,0,278
508036,508040,5,2,0,478
,,,2,10,239
,,,8,0,279
508041,508045,5,2,0,480
,,,2,10,240
,,,8,0,280
508046,508050,5,2,0,482
,,,2,10,241
,,,8,0,281
508051,508055,5,2,0,484
,,,2,10,242
,,,8,0,282
508056,508060,5,2,0,486
,,,2,10,243
,,,8,0,283
509001,509005,5,2,0,488
,,,2,10,244
,,,8,0,284
509006,509010,5,2,0,490
,,,2,10,245
,,,8,0,285
509011,509015,5,2,0,492
,,,2,10,246
,,,8,0,286
509016,509020,5,2,0,494
,,,2,10,247
,,,8,0,287
509021,509025,5,2,0,496
,,,2,10,248
,,,8,0,288
509026,509030,5,2,0,498
,,,2,10,249
,,,8,0,289
509031,509035,5,2,0,500
,,,2,10,250
,,,8,0,290
509036,509040,5,2,0,502
,,,2,10,251
,,,8,0,291
509041,509045,5,2,0,504
,,,2,10,252
,,,8,0,292
509046,509050,5,2,0,506
,,,2,10,253
,,,8,0,293
509051,509055,5,2,0,508
,,,2,10,254
,,,8,0,294
509056,509060,5,2,0,510
,,,2,10,255
,,,8,0,295
509061,509065,5,2,0,512
,,,2,10,256
,,,8,0,296
601001,601005,6,2,0,514
,,,2,10,257
,,,8,0,297
601006,601010,6,2,0,516
,,,2,10,258
,,,8,0,298
601011,601015,6,2,0,518
,,,2,10,259
,,,8,0,299
601016,601020,6,2,0,520
,,,2,10,260
,,,8,0,300
601021,601025,6,2,0,522
,,,2,10,261
,,,8,0,301
601026,601030,6,2,0,524
,,,2,10,262
,,,8,0,302
601031,601035,6,2,0,526
,,,2,10,263
,,,8,0,303
601036,601040,6,2,0,528
,,,2,10,264
,,,8,0,304
601041,601045,6,2,0,530
,,,2,10,265
,,,8,0,305
601046,601050,6,2,0,532
,,,2,10,266
,,,8,0,306
601051,601055,6,2,0,534
,,,2,10,267
,,,8,0,307
602001,602005,6,2,0,536
,,,2,10,268
,,,8,0,308
602006,602010,6,2,0,538
,,,2,10,269
,,,8,0,309
602011,602015,6,2,0,540
,,,2,10,270
,,,8,0,310
602016,602020,6,2,0,542
,,,2,10,271
,,,8,0,311
602021,602025,6,2,0,544
,,,2,10,272
,,,8,0,312
602026,602030,6,2,0,546
,,,2,10,273
,,,8,0,313
602031,602035,6,2,0,548
,,,2,10,274
,,,8,0,314
602036,602040,6,2,0,550
,,,2,10,275
,,,8,0,315
602041,602045,6,2,0,552
,,,2,10,276
,,,8,0,316
602046,602050,6,2,0,554
,,,2,10,277
,,,8,0,317
602051,602055,6,2,0,556
,,,2,10,278
,,,8,0,318
603001,603005,6,2,0,558
,,,2,10,279
,,,8,0,319
603006,603010,6,2,0,560
,,,2,10,280
,,,8,0,320
603011,603015,6,2,0,562
,,,2,10,281
,,,8,0,321
603016,603020,6,2,0,564
,,,2,10,282
,,,8,0,322
603021,603025,6,2,0,566
,,,2,10,283
,,,8,0,323
603026,603030,6,2,0,568
,,,2,10,284
,,,8,0,324
603031,603035,6,2,0,570
,,,2,10,285
,,,8,0,325
603036,603040,6,2,0,572
,,,2,10,286
,,,8,0,326
603041,603045,6,2,0,574
,,,2,10,287
,,,8,0,327
603046,603050,6,2,0,576
,,,2,10,288
,,,8,0,328
603051,603055,6,2,0,578
,,,2,10,289
,,,8,0,329
603056,603060,6,2,0,580
,,,2,10,290
,,,8,0,330
604001,604005,6,2,0,582
,,,2,10,291
,,,8,0,331
604006,604010,6,2,0,584
,,,2,10,292
,,,8,0,332
604011,604015,6,2,0,586
,,,2,10,293
,,,8,0,333
604016,604020,6,2,0,588
,,,2,10,294
,,,8,0,334
604021,604025,6,2,0,590
,,,2,10,295
,,,8,0,335
604026,604030,6,2,0,592
,,,2,10,296
,,,8,0,336
604031,604035,6,2,0,594
,,,2,10,297
,,,8,0,337
604036,604040,6,2,0,596
,,,2,10,298
,,,8,0,338
604041,604045,6,2,0,598
,,,2,10,299
,,,8,0,339
604046,604050,6,2,0,600
,,,2,10,300
,,,8,0,340
604051,604055,6,2,0,602
,,,2,10,301
,,,8,0,341
604056,604060,6,2,0,604
,,,2,10,302
,,,8,0,342
604061,604065,6,2,0,606
,,,2,10,303
,,,8,0,343
605001,605005,6,2,0,608
,,,2,10,304
,,,8,0,344
605006,605010,6,2,0,610
,,,2,10,305
,,,8,0,345
605011,605015,6,2,0,612
,,,2,10,306
,,,8,0,346
605016,605020,6,2,0,614
,,,2,10,307
,,,8,0,347
605021,605025,6,2,0,616
,,,2,10,308
,,,8,0,348
605026,605030,6,2,0,618
,,,2,10,309
,,,8,0,349
605031,605035,6,2,0,620
,,,2,10,310
,,,8,0,350
605036,605040,6,2,0,622
,,,2,10,311
,,,8,0,351
605041,605045,6,2,0,624
,,,2,10,312
,,,8,0,352
605046,605050,6,2,0,626
,,,2,10,313
,,,8,0,353
605051,605055,6,2,0,628
,,,2,10,314
,,,8,0,354
605056,605060,6,2,0,630
,,,2,10,315
,,,8,0,355
605061,605065,6,2,0,632
,,,2,10,316
,,,8,0,356
605066,605070,6,2,0,634
,,,2,10,317
,,,8,0,357
606001,606005,6,2,0,636
,,,2,10,318
,,,8,0,358
606006,606010,6,2,0,638
,,,2,10,319
,,,8,0,359
606011,606015,6,2,0,640
,,,2,10,320
,,,8,0,360
606016,606020,6,2,0,642
,,,2,10,321
,,,8,0,361
606021,606025,6,2,0,644
,,,2,10,322
,,,8,0,362
606026,606030,6,2,0,646
,,,2,10,323
,,,8,0,363
606031,606035,6,2,0,648
,,,2,10,324
,,,8,0,364
606036,606040,6,2,0,650
,,,2,10,325
,,,8,0,365
606041,606045,6,2,0,652
,,,2,10,326
,,,8,0,366
606046,606050,6,2,0,654
,,,2,10,327
,,,8,0,367
606051,606055,6,2,0,656
,,,2,10,328
,,,8,0,368
606056,606060,6,2,0,658
,,,2,10,329
,,,8,0,369
606061,606065,6,2,0,660
,,,2,10,330
,,,8,0,370
606066,606070,6,2,0,662
,,,2,10,331
,,,8,0,371
607001,607005,6,2,0,664
,,,2,10,332
,,,8,0,372
607006,607010,6,2,0,666
,,,2,10,333
,,,8,0,373
607011,607015,6,2,0,668
,,,2,10,334
,,,8,0,374
607016,607020,6,2,0,670
,,,2,10,335
,,,8,0,375
607021,607025,6,2,0,672
,,,2,10,336
,,,8,0,376
607026,607030,6,2,0,674
,,,2,10,337
,,,8,0,377
607031,607035,6,2,0,676
,,,2,10,338
,,,8,0,378
607036,607040,6,2,0,678
,,,2,10,339
,,,8,0,379
607041,607045,6,2,0,680
,,,2,10,340
,,,8,0,380
607046,607050,6,2,0,682
,,,2,10,341
,,,8,0,381
607051,607055,6,2,0,684
,,,2,10,342
,,,8,0,382
607056,607060,6,2,0,686
,,,2,10,343
,,,8,0,383
607061,607065,6,2,0,688
,,,2,10,344
,,,8,0,384
607066,607070,6,2,0,690
,,,2,10,345
,,,8,0,385
607071,607075,6,2,0,692
,,,2,10,346
,,,8,0,386
608001,608005,6,2,0,694
,,,2,10,347
,,,8,0,387
608006,608010,6,2,0,696
,,,2,10,348
,,,8,0,388
608011,608015,6,2,0,698
,,,2,10,349
,,,8,0,389
608016,608020,6,2,0,700
,,,2,10,350
,,,8,0,390
608021,608025,6,2,0,702
,,,2,10,351
,,,8,0,391
608026,608030,6,2,0,704
,,,2,10,352
,,,8,0,392
608031,608035,6,2,0,706
,,,2,10,353
,,,8,0,393
608036,608040,6,2,0,708
,,,2,10,354
,,,8,0,394
608041,608045,6,2,0,710
,,,2,10,355
,,,8,0,395
608046,608050,6,2,0,712
,,,2,10,356
,,,8,0,396
608051,608055,6,2,0,714
,,,2,10,357
,,,8,0,397
608056,608060,6,2,0,716
,,,2,10,358
,,,8,0,398
608061,608065,6,2,0,718
,,,2,10,359
,,,8,0,399
608066,608070,6,2,0,720
,,,2,10,360
,,,8,0,400
608071,608075,6,2,0,722
,,,2,10,361
,,,8,0,401
608076,608080,6,2,0,724
,,,2,10,362
,,,8,0,402
609001,609005,6,2,0,726
,,,2,10,363
,,,8,0,403
609006,609010,6,2,0,728
,,,2,10,364
,,,8,0,404
609011,609015,6,2,0,730
,,,2,10,365
,,,8,0,405
609016,609020,6,2,0,732
,,,2,10,366
,,,8,0,406
609021,609025,6,2,0,734
,,,2,10,367
,,,8,0,407
609026,609030,6,2,0,736
,,,2,10,368
,,,8,0,408
609031,609035,6,2,0,738
,,,2,10,369
,,,8,0,409
609036,609040,6,2,0,740
,,,2,10,370
,,,8,0,410
609041,609045,6,2,0,742
,,,2,10,371
,,,8,0,411
609046,609050,6,2,0,744
,,,2,10,372
,,,8,0,412
609051,609055,6,2,0,746
,,,2,10,373
,,,8,0,413
609056,609060,6,2,0,748
,,,2,10,374
,,,8,0,414
609061,609065,6,2,0,750
,,,2,10,375
,,,8,0,415
609066,609070,6,2,0,752
,,,2,10,376
,,,8,0,416
609071,609075,6,2,0,754
,,,2,10,377
,,,8,0,417
609076,609080,6,2,0,756
,,,2,10,378
,,,8,0,418
609081,609085,6,2,0,758
,,,2,10,379
,,,8,0,419
609086,609090,6,2,0,760
,,,2,10,380
,,,8,0,420
610001,610005,6,2,0,762
,,,2,10,381
,,,8,0,421
610006,610010,6,2,0,764
,,,2,10,382
,,,8,0,422
610011,610015,6,2,0,766
,,,2,10,383
,,,8,0,423
610016,610020,6,2,0,768
,,,2,10,384
,,,8,0,424
610021,610025,6,2,0,770
,,,2,10,385
,,,8,0,425
610026,610030,6,2,0,772
,,,2,10,386
,,,8,0,426
610031,610035,6,2,0,774
,,,2,10,387
,,,8,0,427
610036,610040,6,2,0,776
,,,2,10,388
,,,8,0,428
610041,610045,6,2,0,778
,,,2,10,389
,,,8,0,429
610046,610050,6,2,0,780
,,,2,10,390
,,,8,0,430
610051,610055,6,2,0,782
,,,2,10,391
,,,8,0,431
610056,610060,6,2,0,784
,,,2,10,392
,,,8,0,432
610061,610065,6,2,0,786
,,,2,10,393
,,,8,0,433
610066,610070,6,2,0,788
,,,2,10,394
,,,8,0,434
610071,610075,6,2,0,790
,,,2,10,395
,,,8,0,435
610076,610080,6,2,0,792
,,,2,10,396
,,,8,0,436
610081,610085,6,2,0,794
,,,2,10,397
,,,8,0,437
610086,610090,6,2,0,796
,,,2,10,398
,,,8,0,438
610091,610095,6,2,0,798
,,,2,10,399
,,,8,0,439
