stage1,stage,group,group_rate,res_type,res_id,res_number,item_rate,initial_production_number,production_number,production_interval
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
303015,303030,0,428,2,10,1,1,,,
,,1,52,2,11,1,1,,,
,,2,36,3,1013,1,1,,,
,,,,3,2013,1,1,,,
,,,,3,3013,1,1,,,
,,,,3,4013,1,1,,,
,,3,3,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,4,1,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
304001,304004,0,428,2,10,1,1,,,
,,1,52,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
304005,304024,0,424,2,10,1,1,,,
,,1,56,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
304025,304030,0,420,2,10,1,1,,,
,,1,60,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
305001,305014,0,420,2,10,1,1,,,
,,1,60,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
305015,305033,0,416,2,10,1,1,,,
,,1,64,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
305034,305034,0,412,2,10,1,1,,,
,,1,68,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
305035,305035,0,408,2,10,1,1,,,
,,1,72,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
306001,306010,0,408,2,10,1,1,,,
,,1,72,2,11,1,1,,,
,,2,36,3,1014,1,1,,,
,,,,3,2014,1,1,,,
,,,,3,3014,1,1,,,
,,,,3,4014,1,1,,,
,,3,3,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,4,1,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
306011,306019,0,408,2,10,1,1,,,
,,1,72,2,11,1,1,,,
,,2,36,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,3,3,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,4,1,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
306020,306039,0,404,2,10,1,1,,,
,,1,76,2,11,1,1,,,
,,2,36,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,3,3,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,4,1,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
306040,306040,0,400,2,10,1,1,,,
,,1,80,2,11,1,1,,,
,,2,36,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,3,3,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,4,1,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
307001,307019,0,400,2,10,1,1,,,
,,1,80,2,11,1,1,,,
,,2,36,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,3,3,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,4,1,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
307020,307035,0,396,2,10,1,1,,,
,,1,84,2,11,1,1,,,
,,2,36,3,1015,1,1,,,
,,,,3,2015,1,1,,,
,,,,3,3015,1,1,,,
,,,,3,4015,1,1,,,
,,3,3,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,4,1,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
307036,307039,0,396,2,10,1,1,,,
,,1,84,2,11,1,1,,,
,,2,36,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,3,3,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,4,1,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
307040,307045,0,392,2,10,1,1,,,
,,1,88,2,11,1,1,,,
,,2,36,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,3,3,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,4,1,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
401001,401014,0,392,2,10,1,1,,,
,,1,88,2,11,1,1,,,
,,2,36,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,3,3,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,4,1,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
401015,401025,0,388,2,10,1,1,,,
,,1,92,2,11,1,1,,,
,,2,36,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,3,3,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,4,1,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
402001,402009,0,388,2,10,1,1,,,
,,1,92,2,11,1,1,,,
,,2,36,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,3,3,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,4,1,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
402010,402015,0,384,2,10,1,1,,,
,,1,96,2,11,1,1,,,
,,2,36,3,1016,1,1,,,
,,,,3,2016,1,1,,,
,,,,3,3016,1,1,,,
,,,,3,4016,1,1,,,
,,3,3,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,4,1,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
402016,402029,0,384,2,10,1,1,,,
,,1,96,2,11,1,1,,,
,,2,36,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,3,3,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,4,1,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
402030,402030,0,380,2,10,1,1,,,
,,1,100,2,11,1,1,,,
,,2,36,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,3,3,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,4,1,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
403001,403019,0,380,2,10,1,1,,,
,,1,100,2,11,1,1,,,
,,2,36,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,3,3,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,4,1,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
403020,403035,0,376,2,10,1,1,,,
,,1,104,2,11,1,1,,,
,,2,36,3,1017,1,1,,,
,,,,3,2017,1,1,,,
,,,,3,3017,1,1,,,
,,,,3,4017,1,1,,,
,,3,3,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,4,1,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
404001,404004,0,376,2,10,1,1,,,
,,1,104,2,11,1,1,,,
,,2,36,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,3,3,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,4,1,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
404005,404024,0,372,2,10,1,1,,,
,,1,108,2,11,1,1,,,
,,2,36,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,3,3,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,4,1,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
404025,404035,0,368,2,10,1,1,,,
,,1,112,2,11,1,1,,,
,,2,36,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,3,3,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,4,1,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
405001,405009,0,368,2,10,1,1,,,
,,1,112,2,11,1,1,,,
,,2,36,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,3,3,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,4,1,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
405010,405015,0,364,2,10,1,1,,,
,,1,116,2,11,1,1,,,
,,2,36,3,1018,1,1,,,
,,,,3,2018,1,1,,,
,,,,3,3018,1,1,,,
,,,,3,4018,1,1,,,
,,3,3,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,4,1,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
405016,405020,0,364,2,10,1,1,,,
,,1,116,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
405021,405040,0,630,2,10,1,1,,,
,,1,210,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
406001,406039,0,630,2,10,1,1,,,
,,1,210,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
406040,406050,0,623,2,10,1,1,,,
,,1,217,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
407001,407048,0,623,2,10,1,1,,,
,,1,217,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
407049,407050,0,616,2,10,1,1,,,
,,1,224,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
408001,408055,0,616,2,10,1,1,,,
,,1,224,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
501001,501002,0,616,2,10,1,1,,,
,,1,224,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
501003,501030,0,609,2,10,1,1,,,
,,1,231,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
502001,502031,0,609,2,10,1,1,,,
,,1,231,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
502032,502035,0,602,2,10,1,1,,,
,,1,238,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
503001,503040,0,602,2,10,1,1,,,
,,1,238,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
504001,504015,0,602,2,10,1,1,,,
,,1,238,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
504016,504045,0,595,2,10,1,1,,,
,,1,245,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
505001,505029,0,595,2,10,1,1,,,
