stage,exp_train,res_type,res_id,res_number
,,2,10,24
,,8,0,64
105003,1,2,0,48
,,2,10,24
,,8,0,64
105004,1,2,0,48
,,2,10,24
,,8,0,64
105005,1,2,0,48
,,2,10,24
,,8,0,64
105006,1,2,0,50
,,2,10,25
,,8,0,65
105007,1,2,0,50
,,2,10,25
,,8,0,65
105008,1,2,0,50
,,2,10,25
,,8,0,65
105009,1,2,0,50
,,2,10,25
,,8,0,65
105010,1,2,0,50
,,2,10,25
,,8,0,65
105011,1,2,0,52
,,2,10,26
,,8,0,66
105012,1,2,0,52
,,2,10,26
,,8,0,66
105013,1,2,0,52
,,2,10,26
,,8,0,66
105014,1,2,0,52
,,2,10,26
,,8,0,66
105015,1,2,0,52
,,2,10,26
,,8,0,66
105016,1,2,0,54
,,2,10,27
,,8,0,67
105017,1,2,0,54
,,2,10,27
,,8,0,67
105018,1,2,0,54
,,2,10,27
,,8,0,67
105019,1,2,0,54
,,2,10,27
,,8,0,67
105020,1,2,0,54
,,2,10,27
,,8,0,67
105021,1,2,0,56
,,2,10,28
,,8,0,68
105022,1,2,0,56
,,2,10,28
,,8,0,68
105023,1,2,0,56
,,2,10,28
,,8,0,68
105024,1,2,0,56
,,2,10,28
,,8,0,68
105025,1,2,0,56
,,2,10,28
,,8,0,68
105026,1,2,0,58
,,2,10,29
,,8,0,69
105027,1,2,0,58
,,2,10,29
,,8,0,69
105028,1,2,0,58
,,2,10,29
,,8,0,69
105029,1,2,0,58
,,2,10,29
,,8,0,69
105030,1,2,0,58
,,2,10,29
,,8,0,69
201001,2,2,0,60
,,2,10,30
,,8,0,70
201002,2,2,0,60
,,2,10,30
,,8,0,70
201003,2,2,0,60
,,2,10,30
,,8,0,70
201004,2,2,0,60
,,2,10,30
,,8,0,70
201005,2,2,0,60
,,2,10,30
,,8,0,70
201006,2,2,0,62
,,2,10,31
,,8,0,71
201007,2,2,0,62
,,2,10,31
,,8,0,71
201008,2,2,0,62
,,2,10,31
,,8,0,71
201009,2,2,0,62
,,2,10,31
,,8,0,71
201010,2,2,0,62
,,2,10,31
,,8,0,71
201011,2,2,0,64
,,2,10,32
,,8,0,72
201012,2,2,0,64
,,2,10,32
,,8,0,72
201013,2,2,0,64
,,2,10,32
,,8,0,72
201014,2,2,0,64
,,2,10,32
,,8,0,72
201015,2,2,0,64
,,2,10,32
,,8,0,72
202001,2,2,0,66
,,2,10,33
,,8,0,73
202002,2,2,0,66
,,2,10,33
,,8,0,73
202003,2,2,0,66
,,2,10,33
,,8,0,73
202004,2,2,0,66
,,2,10,33
,,8,0,73
202005,2,2,0,66
,,2,10,33
,,8,0,73
202006,2,2,0,68
,,2,10,34
,,8,0,74
202007,2,2,0,68
,,2,10,34
,,8,0,74
202008,2,2,0,68
,,2,10,34
,,8,0,74
202009,2,2,0,68
,,2,10,34
,,8,0,74
202010,2,2,0,68
,,2,10,34
,,8,0,74
202011,2,2,0,70
,,2,10,35
,,8,0,75
202012,2,2,0,70
,,2,10,35
,,8,0,75
202013,2,2,0,70
,,2,10,35
,,8,0,75
202014,2,2,0,70
,,2,10,35
,,8,0,75
202015,2,2,0,70
,,2,10,35
,,8,0,75
202016,2,2,0,72
,,2,10,36
,,8,0,76
202017,2,2,0,72
,,2,10,36
,,8,0,76
202018,2,2,0,72
,,2,10,36
,,8,0,76
202019,2,2,0,72
,,2,10,36
,,8,0,76
202020,2,2,0,72
,,2,10,36
,,8,0,76
203001,2,2,0,74
,,2,10,37
,,8,0,77
203002,2,2,0,74
,,2,10,37
,,8,0,77
203003,2,2,0,74
,,2,10,37
,,8,0,77
203004,2,2,0,74
,,2,10,37
,,8,0,77
203005,2,2,0,74
,,2,10,37
,,8,0,77
203006,2,2,0,76
,,2,10,38
,,8,0,78
203007,2,2,0,76
,,2,10,38
,,8,0,78
203008,2,2,0,76
,,2,10,38
,,8,0,78
203009,2,2,0,76
,,2,10,38
,,8,0,78
203010,2,2,0,76
,,2,10,38
,,8,0,78
203011,2,2,0,78
,,2,10,39
,,8,0,79
203012,2,2,0,78
,,2,10,39
,,8,0,79
203013,2,2,0,78
,,2,10,39
,,8,0,79
203014,2,2,0,78
,,2,10,39
,,8,0,79
203015,2,2,0,78
,,2,10,39
,,8,0,79
203016,2,2,0,80
,,2,10,40
,,8,0,80
203017,2,2,0,80
,,2,10,40
,,8,0,80
203018,2,2,0,80
,,2,10,40
,,8,0,80
203019,2,2,0,80
,,2,10,40
,,8,0,80
203020,2,2,0,80
,,2,10,40
,,8,0,80
203021,2,2,0,82
,,2,10,41
,,8,0,81
203022,2,2,0,82
,,2,10,41
,,8,0,81
203023,2,2,0,82
,,2,10,41
,,8,0,81
203024,2,2,0,82
,,2,10,41
,,8,0,81
203025,2,2,0,82
,,2,10,41
,,8,0,81
204001,2,2,0,84
,,2,10,42
,,8,0,82
204002,2,2,0,84
,,2,10,42
,,8,0,82
204003,2,2,0,84
,,2,10,42
,,8,0,82
204004,2,2,0,84
,,2,10,42
,,8,0,82
204005,2,2,0,84
,,2,10,42
,,8,0,82
204006,2,2,0,86
,,2,10,43
,,8,0,83
204007,2,2,0,86
,,2,10,43
,,8,0,83
204008,2,2,0,86
,,2,10,43
,,8,0,83
204009,2,2,0,86
,,2,10,43
,,8,0,83
204010,2,2,0,86
,,2,10,43
,,8,0,83
204011,2,2,0,88
,,2,10,44
,,8,0,84
204012,2,2,0,88
,,2,10,44
,,8,0,84
204013,2,2,0,88
,,2,10,44
,,8,0,84
204014,2,2,0,88
,,2,10,44
,,8,0,84
204015,2,2,0,88
,,2,10,44
,,8,0,84
204016,2,2,0,90
,,2,10,45
,,8,0,85
204017,2,2,0,90
,,2,10,45
,,8,0,85
204018,2,2,0,90
,,2,10,45
,,8,0,85
204019,2,2,0,90
,,2,10,45
,,8,0,85
204020,2,2,0,90
,,2,10,45
,,8,0,85
204021,2,2,0,92
,,2,10,46
,,8,0,86
204022,2,2,0,92
,,2,10,46
,,8,0,86
204023,2,2,0,92
,,2,10,46
,,8,0,86
204024,2,2,0,92
,,2,10,46
,,8,0,86
204025,2,2,0,92
,,2,10,46
,,8,0,86
204026,2,2,0,94
,,2,10,47
,,8,0,87
204027,2,2,0,94
,,2,10,47
,,8,0,87
204028,2,2,0,94
,,2,10,47
,,8,0,87
204029,2,2,0,94
,,2,10,47
,,8,0,87
204030,2,2,0,94
,,2,10,47
,,8,0,87
205001,2,2,0,96
,,2,10,48
,,8,0,88
205002,2,2,0,96
,,2,10,48
,,8,0,88
205003,2,2,0,96
,,2,10,48
,,8,0,88
205004,2,2,0,96
,,2,10,48
,,8,0,88
205005,2,2,0,96
,,2,10,48
,,8,0,88
205006,2,2,0,98
,,2,10,49
,,8,0,89
205007,2,2,0,98
,,2,10,49
,,8,0,89
205008,2,2,0,98
,,2,10,49
,,8,0,89
205009,2,2,0,98
,,2,10,49
,,8,0,89
205010,2,2,0,98
,,2,10,49
,,8,0,89
205011,2,2,0,100
,,2,10,50
,,8,0,90
205012,2,2,0,100
,,2,10,50
,,8,0,90
205013,2,2,0,100
,,2,10,50
,,8,0,90
205014,2,2,0,100
,,2,10,50
,,8,0,90
205015,2,2,0,100
,,2,10,50
,,8,0,90
205016,2,2,0,102
,,2,10,51
,,8,0,91
205017,2,2,0,102
,,2,10,51
,,8,0,91
205018,2,2,0,102
,,2,10,51
,,8,0,91
205019,2,2,0,102
,,2,10,51
,,8,0,91
205020,2,2,0,102
,,2,10,51
,,8,0,91
205021,2,2,0,104
,,2,10,52
,,8,0,92
205022,2,2,0,104
,,2,10,52
,,8,0,92
205023,2,2,0,104
,,2,10,52
,,8,0,92
205024,2,2,0,104
,,2,10,52
,,8,0,92
205025,2,2,0,104
,,2,10,52
,,8,0,92
205026,2,2,0,106
,,2,10,53
,,8,0,93
205027,2,2,0,106
,,2,10,53
,,8,0,93
205028,2,2,0,106
,,2,10,53
,,8,0,93
205029,2,2,0,106
,,2,10,53
,,8,0,93
205030,2,2,0,106
,,2,10,53
,,8,0,93
205031,2,2,0,108
,,2,10,54
,,8,0,94
205032,2,2,0,108
,,2,10,54
,,8,0,94
205033,2,2,0,108
,,2,10,54
,,8,0,94
205034,2,2,0,108
,,2,10,54
,,8,0,94
205035,2,2,0,108
,,2,10,54
,,8,0,94
206001,2,2,0,110
,,2,10,55
,,8,0,95
206002,2,2,0,110
,,2,10,55
,,8,0,95
206003,2,2,0,110
,,2,10,55
,,8,0,95
206004,2,2,0,110
,,2,10,55
,,8,0,95
206005,2,2,0,110
,,2,10,55
,,8,0,95
206006,2,2,0,112
,,2,10,56
,,8,0,96
206007,2,2,0,112
,,2,10,56
,,8,0,96
206008,2,2,0,112
,,2,10,56
,,8,0,96
206009,2,2,0,112
,,2,10,56
,,8,0,96
206010,2,2,0,112
,,2,10,56
,,8,0,96
206011,2,2,0,114
,,2,10,57
,,8,0,97
206012,2,2,0,114
,,2,10,57
,,8,0,97
206013,2,2,0,114
,,2,10,57
,,8,0,97
206014,2,2,0,114
,,2,10,57
,,8,0,97
206015,2,2,0,114
,,2,10,57
,,8,0,97
206016,2,2,0,116
,,2,10,58
,,8,0,98
206017,2,2,0,116
,,2,10,58
,,8,0,98
206018,2,2,0,116
,,2,10,58
,,8,0,98
206019,2,2,0,116
,,2,10,58
,,8,0,98
206020,2,2,0,116
,,2,10,58
,,8,0,98
206021,2,2,0,118
,,2,10,59
,,8,0,99
206022,2,2,0,118
,,2,10,59
,,8,0,99
206023,2,2,0,118
,,2,10,59
,,8,0,99
206024,2,2,0,118
,,2,10,59
,,8,0,99
206025,2,2,0,118
,,2,10,59
,,8,0,99
206026,2,2,0,120
,,2,10,60
,,8,0,100
206027,2,2,0,120
,,2,10,60
,,8,0,100
206028,2,2,0,120
,,2,10,60
,,8,0,100
206029,2,2,0,120
,,2,10,60
,,8,0,100
206030,2,2,0,120
,,2,10,60
,,8,0,100
206031,2,2,0,122
,,2,10,61
,,8,0,101
206032,2,2,0,122
,,2,10,61
,,8,0,101
206033,2,2,0,122
,,2,10,61
,,8,0,101
206034,2,2,0,122
,,2,10,61
,,8,0,101
206035,2,2,0,122
,,2,10,61
,,8,0,101
301001,3,2,0,124
,,2,10,62
,,8,0,102
301002,3,2,0,124
,,2,10,62
,,8,0,102
301003,3,2,0,124
,,2,10,62
,,8,0,102
301004,3,2,0,124
,,2,10,62
,,8,0,102
301005,3,2,0,124
,,2,10,62
,,8,0,102
301006,3,2,0,126
,,2,10,63
,,8,0,103
301007,3,2,0,126
,,2,10,63
,,8,0,103
301008,3,2,0,126
,,2,10,63
,,8,0,103
301009,3,2,0,126
,,2,10,63
,,8,0,103
301010,3,2,0,126
,,2,10,63
,,8,0,103
301011,3,2,0,128
,,2,10,64
,,8,0,104
301012,3,2,0,128
,,2,10,64
,,8,0,104
301013,3,2,0,128
,,2,10,64
,,8,0,104
301014,3,2,0,128
,,2,10,64
,,8,0,104
301015,3,2,0,128
,,2,10,64
,,8,0,104
301016,3,2,0,130
,,2,10,65
,,8,0,105
301017,3,2,0,130
,,2,10,65
,,8,0,105
301018,3,2,0,130
,,2,10,65
,,8,0,105
301019,3,2,0,130
,,2,10,65
,,8,0,105
301020,3,2,0,130
,,2,10,65
,,8,0,105
302001,3,2,0,132
,,2,10,66
,,8,0,106
302002,3,2,0,132
,,2,10,66
,,8,0,106
302003,3,2,0,132
,,2,10,66
,,8,0,106
302004,3,2,0,132
,,2,10,66
,,8,0,106
302005,3,2,0,132
,,2,10,66
,,8,0,106
302006,3,2,0,134
,,2,10,67
,,8,0,107
302007,3,2,0,134
,,2,10,67
,,8,0,107
302008,3,2,0,134
,,2,10,67
,,8,0,107
302009,3,2,0,134
,,2,10,67
,,8,0,107
302010,3,2,0,134
,,2,10,67
,,8,0,107
302011,3,2,0,136
,,2,10,68
,,8,0,108
302012,3,2,0,136
,,2,10,68
,,8,0,108
302013,3,2,0,136
,,2,10,68
,,8,0,108
302014,3,2,0,136
,,2,10,68
,,8,0,108
302015,3,2,0,136
,,2,10,68
,,8,0,108
302016,3,2,0,138
,,2,10,69
,,8,0,109
302017,3,2,0,138
,,2,10,69
,,8,0,109
302018,3,2,0,138
,,2,10,69
,,8,0,109
302019,3,2,0,138
,,2,10,69
,,8,0,109
302020,3,2,0,138
,,2,10,69
,,8,0,109
302021,3,2,0,140
,,2,10,70
,,8,0,110
302022,3,2,0,140
,,2,10,70
,,8,0,110
302023,3,2,0,140
,,2,10,70
,,8,0,110
302024,3,2,0,140
,,2,10,70
,,8,0,110
302025,3,2,0,140
,,2,10,70
,,8,0,110
303001,3,2,0,142
,,2,10,71
,,8,0,111
303002,3,2,0,142
,,2,10,71
,,8,0,111
303003,3,2,0,142
,,2,10,71
,,8,0,111
303004,3,2,0,142
,,2,10,71
,,8,0,111
303005,3,2,0,142
,,2,10,71
,,8,0,111
303006,3,2,0,144
,,2,10,72
,,8,0,112
303007,3,2,0,144
,,2,10,72
,,8,0,112
303008,3,2,0,144
,,2,10,72
,,8,0,112
303009,3,2,0,144
,,2,10,72
,,8,0,112
303010,3,2,0,144
,,2,10,72
,,8,0,112
303011,3,2,0,146
,,2,10,73
,,8,0,113
303012,3,2,0,146
,,2,10,73
,,8,0,113
303013,3,2,0,146
,,2,10,73
,,8,0,113
303014,3,2,0,146
,,2,10,73
,,8,0,113
303015,3,2,0,146
,,2,10,73
,,8,0,113
303016,3,2,0,148
,,2,10,74
,,8,0,114
303017,3,2,0,148
,,2,10,74
,,8,0,114
303018,3,2,0,148
,,2,10,74
,,8,0,114
303019,3,2,0,148
,,2,10,74
,,8,0,114
303020,3,2,0,148
,,2,10,74
,,8,0,114
303021,3,2,0,150
,,2,10,75
,,8,0,115
303022,3,2,0,150
,,2,10,75
,,8,0,115
303023,3,2,0,150
,,2,10,75
,,8,0,115
303024,3,2,0,150
,,2,10,75
,,8,0,115
303025,3,2,0,150
,,2,10,75
,,8,0,115
303026,3,2,0,152
,,2,10,76
,,8,0,116
303027,3,2,0,152
,,2,10,76
,,8,0,116
303028,3,2,0,152
,,2,10,76
,,8,0,116
303029,3,2,0,152
,,2,10,76
,,8,0,116
303030,3,2,0,152
,,2,10,76
,,8,0,116
304001,3,2,0,154
,,2,10,77
,,8,0,117
304002,3,2,0,154
,,2,10,77
,,8,0,117
304003,3,2,0,154
,,2,10,77
,,8,0,117
304004,3,2,0,154
,,2,10,77
,,8,0,117
304005,3,2,0,154
,,2,10,77
,,8,0,117
304006,3,2,0,156
,,2,10,78
,,8,0,118
304007,3,2,0,156
,,2,10,78
,,8,0,118
304008,3,2,0,156
,,2,10,78
,,8,0,118
304009,3,2,0,156
,,2,10,78
,,8,0,118
304010,3,2,0,156
,,2,10,78
,,8,0,118
304011,3,2,0,158
,,2,10,79
,,8,0,119
304012,3,2,0,158
,,2,10,79
,,8,0,119
304013,3,2,0,158
,,2,10,79
,,8,0,119
304014,3,2,0,158
,,2,10,79
,,8,0,119
304015,3,2,0,158
,,2,10,79
,,8,0,119
304016,3,2,0,160
,,2,10,80
,,8,0,120
304017,3,2,0,160
,,2,10,80
,,8,0,120
304018,3,2,0,160
,,2,10,80
,,8,0,120
304019,3,2,0,160
,,2,10,80
,,8,0,120
304020,3,2,0,160
,,2,10,80
,,8,0,120
304021,3,2,0,162
,,2,10,81
,,8,0,121
304022,3,2,0,162
,,2,10,81
,,8,0,121
304023,3,2,0,162
,,2,10,81
,,8,0,121
304024,3,2,0,162
,,2,10,81
,,8,0,121
304025,3,2,0,162
,,2,10,81
,,8,0,121
304026,3,2,0,164
,,2,10,82
,,8,0,122
304027,3,2,0,164
,,2,10,82
,,8,0,122
304028,3,2,0,164
,,2,10,82
,,8,0,122
304029,3,2,0,164
,,2,10,82
,,8,0,122
304030,3,2,0,164
,,2,10,82
,,8,0,122
305001,3,2,0,166
,,2,10,83
,,8,0,123
305002,3,2,0,166
,,2,10,83
,,8,0,123
305003,3,2,0,166
,,2,10,83
,,8,0,123
305004,3,2,0,166
,,2,10,83
,,8,0,123
305005,3,2,0,166
,,2,10,83
,,8,0,123
305006,3,2,0,168
,,2,10,84
,,8,0,124
305007,3,2,0,168
,,2,10,84
,,8,0,124
305008,3,2,0,168
,,2,10,84
,,8,0,124
305009,3,2,0,168
,,2,10,84
,,8,0,124
305010,3,2,0,168
,,2,10,84
,,8,0,124
305011,3,2,0,170
,,2,10,85
,,8,0,125
305012,3,2,0,170
,,2,10,85
,,8,0,125
305013,3,2,0,170
,,2,10,85
,,8,0,125
305014,3,2,0,170
,,2,10,85
,,8,0,125
305015,3,2,0,170
,,2,10,85
,,8,0,125
305016,3,2,0,172
,,2,10,86
,,8,0,126
305017,3,2,0,172
,,2,10,86
,,8,0,126
305018,3,2,0,172
,,2,10,86
,,8,0,126
305019,3,2,0,172
,,2,10,86
,,8,0,126
305020,3,2,0,172
,,2,10,86
,,8,0,126
305021,3,2,0,174
,,2,10,87
,,8,0,127
305022,3,2,0,174
,,2,10,87
,,8,0,127
305023,3,2,0,174
,,2,10,87
,,8,0,127
305024,3,2,0,174
,,2,10,87
,,8,0,127
305025,3,2,0,174
,,2,10,87
,,8,0,127
305026,3,2,0,176
,,2,10,88
,,8,0,128
305027,3,2,0,176
,,2,10,88
,,8,0,128
305028,3,2,0,176
,,2,10,88
,,8,0,128
305029,3,2,0,176
,,2,10,88
,,8,0,128
305030,3,2,0,176
,,2,10,88
,,8,0,128
305031,3,2,0,178
,,2,10,89
,,8,0,129
305032,3,2,0,178
,,2,10,89
,,8,0,129
305033,3,2,0,178
,,2,10,89
,,8,0,129
305034,3,2,0,178
,,2,10,89
,,8,0,129
305035,3,2,0,178
,,2,10,89
,,8,0,129
306001,3,2,0,180
,,2,10,90
,,8,0,130
306002,3,2,0,180
,,2,10,90
,,8,0,130
306003,3,2,0,180
,,2,10,90
,,8,0,130
306004,3,2,0,180
,,2,10,90
,,8,0,130
306005,3,2,0,180
,,2,10,90
,,8,0,130
306006,3,2,0,182
,,2,10,91
,,8,0,131
306007,3,2,0,182
,,2,10,91
,,8,0,131
306008,3,2,0,182
,,2,10,91
,,8,0,131
306009,3,2,0,182
,,2,10,91
,,8,0,131
306010,3,2,0,182
,,2,10,91
,,8,0,131
306011,3,2,0,184
,,2,10,92
,,8,0,132
306012,3,2,0,184
,,2,10,92
,,8,0,132
306013,3,2,0,184
,,2,10,92
,,8,0,132
306014,3,2,0,184
,,2,10,92
,,8,0,132
306015,3,2,0,184
,,2,10,92
,,8,0,132
306016,3,2,0,186
,,2,10,93
,,8,0,133
306017,3,2,0,186
,,2,10,93
,,8,0,133
306018,3,2,0,186
,,2,10,93
,,8,0,133
306019,3,2,0,186
,,2,10,93
,,8,0,133
306020,3,2,0,186
,,2,10,93
,,8,0,133
306021,3,2,0,188
,,2,10,94
,,8,0,134
306022,3,2,0,188
,,2,10,94
,,8,0,134
306023,3,2,0,188
,,2,10,94
,,8,0,134
306024,3,2,0,188
,,2,10,94
,,8,0,134
306025,3,2,0,188
,,2,10,94
,,8,0,134
306026,3,2,0,190
,,2,10,95
,,8,0,135
306027,3,2,0,190
,,2,10,95
,,8,0,135
306028,3,2,0,190
,,2,10,95
,,8,0,135
306029,3,2,0,190
,,2,10,95
,,8,0,135
306030,3,2,0,190
,,2,10,95
,,8,0,135
306031,3,2,0,192
,,2,10,96
,,8,0,136
306032,3,2,0,192
,,2,10,96
,,8,0,136
306033,3,2,0,192
,,2,10,96
,,8,0,136
306034,3,2,0,192
,,2,10,96
,,8,0,136
306035,3,2,0,192
,,2,10,96
,,8,0,136
306036,3,2,0,194
,,2,10,97
,,8,0,137
306037,3,2,0,194
,,2,10,97
,,8,0,137
306038,3,2,0,194
,,2,10,97
,,8,0,137
306039,3,2,0,194
,,2,10,97
,,8,0,137
306040,3,2,0,194
,,2,10,97
,,8,0,137
307001,3,2,0,196
,,2,10,98
,,8,0,138
307002,3,2,0,196
,,2,10,98
,,8,0,138
307003,3,2,0,196
,,2,10,98
,,8,0,138
307004,3,2,0,196
,,2,10,98
,,8,0,138
307005,3,2,0,196
,,2,10,98
,,8,0,138
307006,3,2,0,198
,,2,10,99
,,8,0,139
307007,3,2,0,198
,,2,10,99
,,8,0,139
307008,3,2,0,198
,,2,10,99
,,8,0,139
307009,3,2,0,198
,,2,10,99
,,8,0,139
307010,3,2,0,198
,,2,10,99
,,8,0,139
307011,3,2,0,200
,,2,10,100
,,8,0,140
307012,3,2,0,200
,,2,10,100
,,8,0,140
307013,3,2,0,200
,,2,10,100
,,8,0,140
307014,3,2,0,200
,,2,10,100
,,8,0,140
307015,3,2,0,200
,,2,10,100
,,8,0,140
307016,3,2,0,202
,,2,10,101
,,8,0,141
307017,3,2,0,202
,,2,10,101
,,8,0,141
307018,3,2,0,202
,,2,10,101
,,8,0,141
307019,3,2,0,202
,,2,10,101
,,8,0,141
307020,3,2,0,202
,,2,10,101
,,8,0,141
307021,3,2,0,204
,,2,10,102
,,8,0,142
307022,3,2,0,204
,,2,10,102
,,8,0,142
307023,3,2,0,204
,,2,10,102
,,8,0,142
307024,3,2,0,204
,,2,10,102
,,8,0,142
307025,3,2,0,204
,,2,10,102
,,8,0,142
307026,3,2,0,206
,,2,10,103
,,8,0,143
307027,3,2,0,206
,,2,10,103
,,8,0,143
307028,3,2,0,206
,,2,10,103
,,8,0,143
307029,3,2,0,206
,,2,10,103
,,8,0,143
307030,3,2,0,206
,,2,10,103
,,8,0,143
307031,3,2,0,208
,,2,10,104
,,8,0,144
307032,3,2,0,208
,,2,10,104
,,8,0,144
307033,3,2,0,208
,,2,10,104
,,8,0,144
307034,3,2,0,208
,,2,10,104
,,8,0,144
307035,3,2,0,208
,,2,10,104
,,8,0,144
307036,3,2,0,210
,,2,10,105
,,8,0,145
307037,3,2,0,210
,,2,10,105
,,8,0,145
307038,3,2,0,210
,,2,10,105
,,8,0,145
307039,3,2,0,210
,,2,10,105
,,8,0,145
307040,3,2,0,210
,,2,10,105
,,8,0,145
307041,3,2,0,212
,,2,10,106
,,8,0,146
307042,3,2,0,212
,,2,10,106
,,8,0,146
307043,3,2,0,212
,,2,10,106
,,8,0,146
307044,3,2,0,212
,,2,10,106
,,8,0,146
307045,3,2,0,212
,,2,10,106
,,8,0,146
401001,4,2,0,214
,,2,10,107
,,8,0,147
401002,4,2,0,214
,,2,10,107
,,8,0,147
401003,4,2,0,214
,,2,10,107
,,8,0,147
401004,4,2,0,214
,,2,10,107
,,8,0,147
401005,4,2,0,214
,,2,10,107
,,8,0,147
401006,4,2,0,216
,,2,10,108
,,8,0,148
401007,4,2,0,216
,,2,10,108
,,8,0,148
401008,4,2,0,216
,,2,10,108
,,8,0,148
401009,4,2,0,216
,,2,10,108
,,8,0,148
401010,4,2,0,216
,,2,10,108
,,8,0,148
401011,4,2,0,218
,,2,10,109
,,8,0,149
401012,4,2,0,218
,,2,10,109
,,8,0,149
401013,4,2,0,218
,,2,10,109
,,8,0,149
401014,4,2,0,218
,,2,10,109
,,8,0,149
401015,4,2,0,218
,,2,10,109
,,8,0,149
401016,4,2,0,220
,,2,10,110
,,8,0,150
401017,4,2,0,220
,,2,10,110
,,8,0,150
401018,4,2,0,220
,,2,10,110
,,8,0,150
401019,4,2,0,220
,,2,10,110
,,8,0,150
401020,4,2,0,220
,,2,10,110
,,8,0,150
401021,4,2,0,222
,,2,10,111
,,8,0,151
401022,4,2,0,222
,,2,10,111
,,8,0,151
401023,4,2,0,222
,,2,10,111
,,8,0,151
401024,4,2,0,222
,,2,10,111
,,8,0,151
401025,4,2,0,222
,,2,10,111
,,8,0,151
402001,4,2,0,224
,,2,10,112
,,8,0,152
402002,4,2,0,224
,,2,10,112
,,8,0,152
402003,4,2,0,224
,,2,10,112
,,8,0,152
402004,4,2,0,224
,,2,10,112
,,8,0,152
402005,4,2,0,224
,,2,10,112
,,8,0,152
402006,4,2,0,226
,,2,10,113
,,8,0,153
402007,4,2,0,226
,,2,10,113
,,8,0,153
402008,4,2,0,226
