id_team_item,item_type,hero_slot_1,hero_slot_2,hero_slot_3,hero_slot_4,hero_slot_5
,2,2016,2016,2016,2016,2016
,3,3016,3016,3016,3016,3016
,4,4016,4016,4016,4016,4016
,5,-1,-1,-1,-1,-1
,6,10011,10011,10011,10011,10011
,7,-1,-1,-1,-1,-1
121,1,1017,1016,1016,1016,1016
,2,2017,2016,2016,2016,2016
,3,3017,3016,3016,3016,3016
,4,4017,4016,4016,4016,4016
,5,149001,-1,-1,-1,-1
,6,11011,10011,10011,10011,10011
,7,-1,-1,-1,-1,-1
122,1,1017,1017,1016,1016,1016
,2,2017,2017,2016,2016,2016
,3,3017,3017,3016,3016,3016
,4,4017,4017,4016,4016,4016
,5,149001,149001,-1,-1,-1
,6,11011,11011,10011,10011,10011
,7,-1,-1,-1,-1,-1
123,1,1017,1017,1017,1016,1016
,2,2017,2017,2017,2016,2016
,3,3017,3017,3017,3016,3016
,4,4017,4017,4017,4016,4016
,5,149001,149001,149001,-1,-1
,6,11011,11011,11011,10011,10011
,7,-1,-1,-1,-1,-1
124,1,1017,1017,1017,1017,1016
,2,2017,2017,2017,2017,2016
,3,3017,3017,3017,3017,3016
,4,4017,4017,4017,4017,4016
,5,149001,149001,149001,149001,-1
,6,11011,11011,11011,11011,10011
,7,-1,-1,-1,-1,-1
125,1,1017,1017,1017,1017,1017
,2,2017,2017,2017,2017,2017
,3,3017,3017,3017,3017,3017
,4,4017,4017,4017,4017,4017
,5,149001,149001,149001,149001,149001
,6,11011,11011,11011,11011,11011
,7,-1,-1,-1,-1,-1
126,1,1018,1017,1017,1017,1017
,2,2018,2017,2017,2017,2017
,3,3018,3017,3017,3017,3017
,4,4018,4017,4017,4017,4017
,5,149002,149001,149001,149001,149001
,6,12011,11011,11011,11011,11011
,7,-1,-1,-1,-1,-1
127,1,1018,1018,1017,1017,1017
,2,2018,2018,2017,2017,2017
,3,3018,3018,3017,3017,3017
,4,4018,4018,4017,4017,4017
,5,149002,149002,149001,149001,149001
,6,12011,12011,11011,11011,11011
,7,-1,-1,-1,-1,-1
128,1,1018,1018,1018,1017,1017
,2,2018,2018,2018,2017,2017
,3,3018,3018,3018,3017,3017
,4,4018,4018,4018,4017,4017
,5,149002,149002,149002,149001,149001
,6,12011,12011,12011,11011,11011
,7,-1,-1,-1,-1,-1
129,1,1018,1018,1018,1018,1017
,2,2018,2018,2018,2018,2017
,3,3018,3018,3018,3018,3017
,4,4018,4018,4018,4018,4017
,5,149002,149002,149002,149002,149001
,6,12011,12011,12011,12011,11011
,7,-1,-1,-1,-1,-1
130,1,1018,1018,1018,1018,1018
,2,2018,2018,2018,2018,2018
,3,3018,3018,3018,3018,3018
,4,4018,4018,4018,4018,4018
,5,149002,149002,149002,149002,149002
,6,12011,12011,12011,12011,12011
,7,-1,-1,-1,-1,-1
131,1,1019,1018,1018,1018,1018
,2,2019,2018,2018,2018,2018
,3,3019,3018,3018,3018,3018
,4,4019,4018,4018,4018,4018
,5,149003,149002,149002,149002,149002
,6,13011,12011,12011,12011,12011
,7,-1,-1,-1,-1,-1
132,1,1019,1019,1018,1018,1018
,2,2019,2019,2018,2018,2018
,3,3019,3019,3018,3018,3018
,4,4019,4019,4018,4018,4018
,5,149003,149003,149002,149002,149002
,6,13011,13011,12011,12011,12011
,7,-1,-1,-1,-1,-1
133,1,1019,1019,1019,1018,1018
,2,2019,2019,2019,2018,2018
,3,3019,3019,3019,3018,3018
,4,4019,4019,4019,4018,4018
,5,149003,149003,149003,149002,149002
,6,13011,13011,13011,12011,12011
,7,-1,-1,-1,-1,-1
134,1,1019,1019,1019,1019,1018
,2,2019,2019,2019,2019,2018
,3,3019,3019,3019,3019,3018
,4,4019,4019,4019,4019,4018
,5,149003,149003,149003,149003,149002
,6,13011,13011,13011,13011,12011
,7,-1,-1,-1,-1,-1
135,1,1019,1019,1019,1019,1019
,2,2019,2019,2019,2019,2019
,3,3019,3019,3019,3019,3019
,4,4019,4019,4019,4019,4019
,5,149003,149003,149003,149003,149003
,6,13011,13011,13011,13011,13011
,7,-1,-1,-1,-1,-1
136,1,1020,1019,1019,1019,1019
,2,2020,2019,2019,2019,2019
,3,3020,3019,3019,3019,3019
,4,4020,4019,4019,4019,4019
,5,149004,149003,149003,149003,149003
,6,14011,13011,13011,13011,13011
,7,-1,-1,-1,-1,-1
137,1,1020,1020,1019,1019,1019
,2,2020,2020,2019,2019,2019
,3,3020,3020,3019,3019,3019
,4,4020,4020,4019,4019,4019
,5,149004,149004,149003,149003,149003
,6,14011,14011,13011,13011,13011
,7,-1,-1,-1,-1,-1
138,1,1020,1020,1020,1019,1019
,2,2020,2020,2020,2019,2019
,3,3020,3020,3020,3019,3019
,4,4020,4020,4020,4019,4019
,5,149004,149004,149004,149003,149003
,6,14011,14011,14011,13011,13011
,7,-1,-1,-1,-1,-1
139,1,1020,1020,1020,1020,1019
,2,2020,2020,2020,2020,2019
,3,3020,3020,3020,3020,3019
,4,4020,4020,4020,4020,4019
,5,149004,149004,149004,149004,149003
,6,14011,14011,14011,14011,13011
,7,-1,-1,-1,-1,-1
140,1,1020,1020,1020,1020,1020
,2,2020,2020,2020,2020,2020
,3,3020,3020,3020,3020,3020
,4,4020,4020,4020,4020,4020
,5,149004,149004,149004,149004,149004
,6,14011,14011,14011,14011,14011
,7,-1,-1,-1,-1,-1
141,1,1021,1020,1020,1020,1020
,2,2021,2020,2020,2020,2020
,3,3021,3020,3020,3020,3020
,4,4021,4020,4020,4020,4020
,5,149005,149004,149004,149004,149004
,6,15011,14011,14011,14011,14011
,7,-1,-1,-1,-1,-1
142,1,1021,1021,1020,1020,1020
,2,2021,2021,2020,2020,2020
,3,3021,3021,3020,3020,3020
,4,4021,4021,4020,4020,4020
,5,149005,149005,149004,149004,149004
,6,15011,15011,14011,14011,14011
,7,-1,-1,-1,-1,-1
143,1,1021,1021,1021,1020,1020
,2,2021,2021,2021,2020,2020
,3,3021,3021,3021,3020,3020
,4,4021,4021,4021,4020,4020
,5,149005,149005,149005,149004,149004
,6,15011,15011,15011,14011,14011
,7,-1,-1,-1,-1,-1
144,1,1021,1021,1021,1021,1020
,2,2021,2021,2021,2021,2020
,3,3021,3021,3021,3021,3020
,4,4021,4021,4021,4021,4020
,5,149005,149005,149005,149005,149004
,6,15011,15011,15011,15011,14011
,7,-1,-1,-1,-1,-1
145,1,1021,1021,1021,1021,1021
,2,2021,2021,2021,2021,2021
,3,3021,3021,3021,3021,3021
,4,4021,4021,4021,4021,4021
,5,149005,149005,149005,149005,149005
,6,15011,15011,15011,15011,15011
,7,-1,-1,-1,-1,-1
146,1,1022,1021,1021,1021,1021
,2,2022,2021,2021,2021,2021
,3,3022,3021,3021,3021,3021
,4,4022,4021,4021,4021,4021
,5,151001,149005,149005,149005,149005
,6,16011,15011,15011,15011,15011
,7,-1,-1,-1,-1,-1
147,1,1022,1022,1021,1021,1021
,2,2022,2022,2021,2021,2021
,3,3022,3022,3021,3021,3021
,4,4022,4022,4021,4021,4021
,5,151001,151001,149005,149005,149005
,6,16011,16011,15011,15011,15011
,7,-1,-1,-1,-1,-1
148,1,1022,1022,1022,1021,1021
,2,2022,2022,2022,2021,2021
,3,3022,3022,3022,3021,3021
,4,4022,4022,4022,4021,4021
,5,151001,151001,151001,149005,149005
,6,16011,16011,16011,15011,15011
,7,-1,-1,-1,-1,-1
149,1,1022,1022,1022,1022,1021
,2,2022,2022,2022,2022,2021
,3,3022,3022,3022,3022,3021
,4,4022,4022,4022,4022,4021
,5,151001,151001,151001,151001,149005
,6,16011,16011,16011,16011,15011
,7,-1,-1,-1,-1,-1
150,1,1022,1022,1022,1022,1022
,2,2022,2022,2022,2022,2022
,3,3022,3022,3022,3022,3022
,4,4022,4022,4022,4022,4022
,5,151001,151001,151001,151001,151001
,6,16011,16011,16011,16011,16011
,7,-1,-1,-1,-1,-1
151,1,1023,1022,1022,1022,1022
,2,2023,2022,2022,2022,2022
,3,3023,3022,3022,3022,3022
,4,4023,4022,4022,4022,4022
,5,151002,151001,151001,151001,151001
,6,17011,16011,16011,16011,16011
,7,-1,-1,-1,-1,-1
152,1,1023,1023,1022,1022,1022
,2,2023,2023,2022,2022,2022
,3,3023,3023,3022,3022,3022
,4,4023,4023,4022,4022,4022
,5,151002,151002,151001,151001,151001
,6,17011,17011,16011,16011,16011
,7,-1,-1,-1,-1,-1
153,1,1023,1023,1023,1022,1022
,2,2023,2023,2023,2022,2022
,3,3023,3023,3023,3022,3022
,4,4023,4023,4023,4022,4022
,5,151002,151002,151002,151001,151001
,6,17011,17011,17011,16011,16011
,7,-1,-1,-1,-1,-1
154,1,1023,1023,1023,1023,1022
,2,2023,2023,2023,2023,2022
,3,3023,3023,3023,3023,3022
,4,4023,4023,4023,4023,4022
,5,151002,151002,151002,151002,151001
,6,17011,17011,17011,17011,16011
,7,-1,-1,-1,-1,-1
155,1,1023,1023,1023,1023,1023
,2,2023,2023,2023,2023,2023
,3,3023,3023,3023,3023,3023
,4,4023,4023,4023,4023,4023
,5,151002,151002,151002,151002,151002
,6,17011,17011,17011,17011,17011
,7,-1,-1,-1,-1,-1
156,1,1024,1023,1023,1023,1023
,2,2024,2023,2023,2023,2023
,3,3024,3023,3023,3023,3023
,4,4024,4023,4023,4023,4023
,5,151003,151002,151002,151002,151002
,6,18011,17011,17011,17011,17011
,7,-1,-1,-1,-1,-1
157,1,1024,1024,1023,1023,1023
,2,2024,2024,2023,2023,2023
,3,3024,3024,3023,3023,3023
,4,4024,4024,4023,4023,4023
,5,151003,151003,151002,151002,151002
,6,18011,18011,17011,17011,17011
,7,-1,-1,-1,-1,-1
158,1,1024,1024,1024,1023,1023
,2,2024,2024,2024,2023,2023
,3,3024,3024,3024,3023,3023
,4,4024,4024,4024,4023,4023
,5,151003,151003,151003,151002,151002
,6,18011,18011,18011,17011,17011
,7,-1,-1,-1,-1,-1
159,1,1024,1024,1024,1024,1023
,2,2024,2024,2024,2024,2023
,3,3024,3024,3024,3024,3023
,4,4024,4024,4024,4024,4023
,5,151003,151003,151003,151003,151002
,6,18011,18011,18011,18011,17011
,7,-1,-1,-1,-1,-1
160,1,1024,1024,1024,1024,1024
,2,2024,2024,2024,2024,2024
,3,3024,3024,3024,3024,3024
,4,4024,4024,4024,4024,4024
,5,151003,151003,151003,151003,151003
,6,18011,18011,18011,18011,18011
,7,-1,-1,-1,-1,-1
161,1,1025,1024,1024,1024,1024
,2,2025,2024,2024,2024,2024
,3,3025,3024,3024,3024,3024
,4,4025,4024,4024,4024,4024
,5,151004,151003,151003,151003,151003
,6,19011,18011,18011,18011,18011
,7,-1,-1,-1,-1,-1
162,1,1025,1025,1024,1024,1024
,2,2025,2025,2024,2024,2024
,3,3025,3025,3024,3024,3024
,4,4025,4025,4024,4024,4024
,5,151004,151004,151003,151003,151003
,6,19011,19011,18011,18011,18011
,7,-1,-1,-1,-1,-1
163,1,1025,1025,1025,1024,1024
,2,2025,2025,2025,2024,2024
,3,3025,3025,3025,3024,3024
,4,4025,4025,4025,4024,4024
,5,151004,151004,151004,151003,151003
,6,19011,19011,19011,18011,18011
,7,-1,-1,-1,-1,-1
164,1,1025,1025,1025,1025,1024
,2,2025,2025,2025,2025,2024
,3,3025,3025,3025,3025,3024
,4,4025,4025,4025,4025,4024
,5,151004,151004,151004,151004,151003
,6,19011,19011,19011,19011,18011
,7,-1,-1,-1,-1,-1
165,1,1025,1025,1025,1025,1025
,2,2025,2025,2025,2025,2025
,3,3025,3025,3025,3025,3025
,4,4025,4025,4025,4025,4025
,5,151004,151004,151004,151004,151004
,6,19011,19011,19011,19011,19011
,7,-1,-1,-1,-1,-1
166,1,1026,1025,1025,1025,1025
,2,2026,2025,2025,2025,2025
,3,3026,3025,3025,3025,3025
,4,4026,4025,4025,4025,4025
,5,151005,151004,151004,151004,151004
,6,20011,19011,19011,19011,19011
,7,-1,-1,-1,-1,-1
167,1,1026,1026,1025,1025,1025
,2,2026,2026,2025,2025,2025
,3,3026,3026,3025,3025,3025
,4,4026,4026,4025,4025,4025
,5,151005,151005,151004,151004,151004
,6,20011,20011,19011,19011,19011
,7,-1,-1,-1,-1,-1
168,1,1026,1026,1026,1025,1025
,2,2026,2026,2026,2025,2025
,3,3026,3026,3026,3025,3025
,4,4026,4026,4026,4025,4025
,5,151005,151005,151005,151004,151004
,6,20011,20011,20011,19011,19011
,7,-1,-1,-1,-1,-1
169,1,1026,1026,1026,1026,1025
,2,2026,2026,2026,2026,2025
,3,3026,3026,3026,3026,3025
,4,4026,4026,4026,4026,4025
,5,151005,151005,151005,151005,151004
,6,20011,20011,20011,20011,19011
,7,-1,-1,-1,-1,-1
170,1,1026,1026,1026,1026,1026
,2,2026,2026,2026,2026,2026
,3,3026,3026,3026,3026,3026
,4,4026,4026,4026,4026,4026
,5,151005,151005,151005,151005,151005
,6,20011,20011,20011,20011,20011
,7,-1,-1,-1,-1,-1
171,1,1027,1026,1026,1026,1026
,2,2027,2026,2026,2026,2026
,3,3027,3026,3026,3026,3026
,4,4027,4026,4026,4026,4026
,5,151006,151005,151005,151005,151005
,6,21011,20011,20011,20011,20011
,7,-1,-1,-1,-1,-1
172,1,1027,1027,1026,1026,1026
,2,2027,2027,2026,2026,2026
,3,3027,3027,3026,3026,3026
,4,4027,4027,4026,4026,4026
,5,151006,151006,151005,151005,151005
,6,21011,21011,20011,20011,20011
,7,-1,-1,-1,-1,-1
173,1,1027,1027,1027,1026,1026
,2,2027,2027,2027,2026,2026
,3,3027,3027,3027,3026,3026
,4,4027,4027,4027,4026,4026
,5,151006,151006,151006,151005,151005
,6,21011,21011,21011,20011,20011
,7,-1,-1,-1,-1,-1
174,1,1027,1027,1027,1027,1026
,2,2027,2027,2027,2027,2026
,3,3027,3027,3027,3027,3026
,4,4027,4027,4027,4027,4026
,5,151006,151006,151006,151006,151005
,6,21011,21011,21011,21011,20011
,7,-1,-1,-1,-1,-1
175,1,1027,1027,1027,1027,1027
,2,2027,2027,2027,2027,2027
,3,3027,3027,3027,3027,3027
,4,4027,4027,4027,4027,4027
,5,151006,151006,151006,151006,151006
,6,21011,21011,21011,21011,21011
,7,-1,-1,-1,-1,-1
176,1,-1,-1,-1,-1,-1
,2,-1,-1,-1,-1,-1
,3,-1,-1,-1,-1,-1
,4,-1,-1,-1,-1,-1
,5,-1,-1,-1,-1,-1
,6,-1,-1,-1,-1,-1
,7,-1,-1,-1,50011001,-1
177,1,-1,-1,-1,-1,-1
,2,-1,-1,-1,-1,-1
,3,-1,-1,-1,-1,-1
,4,-1,-1,-1,-1,-1
,5,-1,-1,-1,-1,-1
,6,-1,-1,-1,-1,-1
,7,-1,-1,-1,50001001,-1
178,1,-1,1027,-1,1027,-1
,2,-1,2027,-1,2027,-1
,3,-1,3027,-1,3027,-1
,4,-1,4027,-1,4027,-1
,5,-1,-1,-1,151006,-1
,6,-1,-1,-1,21011,-1
,7,-1,-1,-1,10004001,-1
179,1,-1,-1,-1,-1,-1
,2,-1,-1,-1,-1,-1
,3,-1,-1,-1,-1,-1
,4,-1,-1,-1,-1,-1
,5,-1,-1,-1,354330001,-1
,6,-1,-1,-1,-1,-1
,7,-1,-1,-1,-1,-1
