boss_id,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction,reduce_damage_reduction
,1,4,1,4500,1,1,1,1,1,1,1,1,1,1,0
404000,0,4,1,4000,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,4000,1,1,1,1,1,1,1,1,1,1,0
401000,0,4,1,1000,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,1000,1,1,1,1,1,1,1,1,1,1,0
403000,0,4,1,3000,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,3000,1,1,1,1,1,1,1,1,1,1,0
303000,0,3,1,3000,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,3000,1,1,1,1,1,1,1,1,1,1,0
402000,0,4,1,2000,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,2000,1,1,1,1,1,1,1,1,1,1,0
502000,0,5,1,2000,1,1,1,1,1,1,1,1,1,1,0
,1,5,1,2000,1,1,1,1,1,1,1,1,1,1,0
602000,0,6,1,2000,1,1,1,1,1,1,1,1,1,1,0
,1,6,1,2000,1,1,1,1,1,1,1,1,1,1,0
702000,0,7,1,2000,1,1,1,1,1,1,1,1,1,1,0
,1,7,1,2000,1,1,1,1,1,1,1,1,1,1,0
401250,0,4,1,1250,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,1250,1,1,1,1,1,1,1,1,1,1,0
401750,0,4,1,1750,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,1750,1,1,1,1,1,1,1,1,1,1,0
201750,0,2,1,1750,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,1750,1,1,1,1,1,1,1,1,1,1,0
202000,0,2,1,2000,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,2000,1,1,1,1,1,1,1,1,1,1,0
202250,0,2,1,2250,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,2250,1,1,1,1,1,1,1,1,1,1,0
501500,0,5,1,1500,1,1,1,1,1,1,1,1,1,1,0
,1,5,1,1500,1,1,1,1,1,1,1,1,1,1,0
301000,0,3,1,1000,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,1000,1,1,1,1,1,1,1,1,1,1,0
302000,0,3,1,2000,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,2000,1,1,1,1,1,1,1,1,1,1,0
301500,0,3,1,1500,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,1500,1,1,1,1,1,1,1,1,1,1,0
30500,0,3,1,500,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,500,1,1,1,1,1,1,1,1,1,1,0
30600,0,3,1,600,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,600,1,1,1,1,1,1,1,1,1,1,0
201,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0
301,0,3,1,1,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0
401,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0
22100,0,2,1,2,1,1,1,100,1,1,1,1,1,1,0
,1,2,1,2,1,1,1,100,1,1,1,1,1,1,0
306,0,3,1,6,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,6,1,1,1,1,1,1,1,1,1,1,0
2100,0,1,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
302100,0,3,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
304,0,3,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,4,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
305,0,3,1,5,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,5,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204,0,2,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,0,1,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
302,0,3,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,3,1,3,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,3,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,2,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,2,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,0,5,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,5,1,4,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504100,0,5,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,5,1,4,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
402,0,4,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,2,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43021,0,4,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203100,0,2,1,3,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3100,0,1,1,3,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404100,0,4,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,4,1,4,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202100,0,2,1,2,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,0,1,1,60,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,60,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,0,1,1,150,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,150,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,0,1,1,180,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,180,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,0,1,1,120,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,120,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,1,1,2,1,1,1,3,1,1,1,1,1,1,0
,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
303100,0,3,1,3,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,3,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201100,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
350100,0,1,1,3,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
20110,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,2500,0,0
180,0,1,1,180,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,180,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204100,0,2,1,4,1,1,1,1,1,1,1,1,1,1,0
,1,2,1,4,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
300,0,1,1,300,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,300,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
270,0,1,1,270,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,270,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
360,0,1,1,360,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,360,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
450,0,1,1,450,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,450,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,0,1,1,2,1,1,1,0,1,1,1,1,1,1,0
,1,1,1,2,1,1,1,0,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,1,1,90,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,90,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1,1,120,1,1,1,1,1,1,1,1,1,1,0
,1,1,1,120,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707100,0,7,1,7,1,1,1,1,1,1,1,1,1,1,0
,1,7,1,7,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
606100,0,6,1,6,1,1,1,1,1,1,1,1,1,1,0
,1,6,1,6,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
909100,0,9,1,9,1,1,1,1,1,1,1,1,1,1,0
,1,9,1,9,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110111,0,11,1,11,1,1,1,1,1,1,1,1,1,1,0
,1,11,1,11,1,1,1,1,1,1,1,1,1,1,0
,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
