hero_id,skin_id,attack_impact_type,attack_impact_name,skill_impact_type,skill_impact_name
30018,-1,GeneralBattleEffect,impact_melee_2,GeneralBattleEffect,impact_abyss
30019,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_30019_skill_impact
30020,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
30021,-1,GeneralBattleEffect,impact_abyss,HeroBattleEffect,hero_30021_skill_impact
30022,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
30023,-1,HeroBattleEffect,hero_30023_attack_impact,HeroBattleEffect,hero_30023_skill_impact
30024,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
30025,-1,HeroBattleEffect,hero_30025_attack_impact,HeroBattleEffect,hero_30025_skill_impact
30026,-1,HeroBattleEffect,hero_30026_attack_impact,HeroBattleEffect,hero_30026_skill_impact
40001,-1,HeroBattleEffect,hero_40001_attack_impact,HeroBattleEffect,hero_40001_skill_impact
40002,-1,HeroBattleEffect,hero_40002_attack_impact,HeroBattleEffect,hero_40002_skill_impact
40003,-1,HeroBattleEffect,hero_40003_attack_impact,HeroBattleEffect,hero_40003_skill_impact
40003,40003001,HeroBattleEffect,hero_40003_skin_id_40003001_attack_impact,HeroBattleEffect,hero_40003_skin_id_40003001_skill_impact
40004,-1,HeroBattleEffect,hero_40004_attack_impact,HeroBattleEffect,hero_40004_skill_impact
40005,-1,HeroBattleEffect,hero_40005_attack_impact,,
40008,-1,HeroBattleEffect,hero_40008_attack_impact,HeroBattleEffect,hero_40008_skill_impact
40008,40008001,HeroBattleEffect,hero_40008_skin_id_40008001_attack_impact,HeroBattleEffect,hero_40008_skin_id_40008001_skill_impact
40009,-1,HeroBattleEffect,hero_40009_attack_impact,HeroBattleEffect,hero_40009_skill_impact
40010,-1,HeroBattleEffect,hero_40010_attack_impact,HeroBattleEffect,hero_40010_skill_impact
40011,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_40011_skill_impact
40012,-1,HeroBattleEffect,hero_40012_attack_impact,HeroBattleEffect,hero_40012_skill_impact
40013,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_40013_skill_impact
40014,-1,GeneralBattleEffect,impact_white,HeroBattleEffect,hero_40014_skill_impact
40015,-1,GeneralBattleEffect,impact_white,HeroBattleEffect,hero_40015_skill_impact
40016,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
40017,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_40017_skill_impact
40018,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_40018_skill_impact
40019,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_40019_skill_impact
40020,-1,GeneralBattleEffect,impact_natural,GeneralBattleEffect,impact_melee_2
40021,-1,GeneralBattleEffect,impact_natural,,
40022,-1,GeneralBattleEffect,impact_natural,HeroBattleEffect,hero_40022_skill_impact
40023,-1,HeroBattleEffect,hero_40023_attack_impact,,
40024,-1,GeneralBattleEffect,impact_natural,HeroBattleEffect,hero_40024_skill_impact
40025,-1,HeroBattleEffect,hero_40025_attack_impact,HeroBattleEffect,hero_40025_skill_impact
40026,-1,GeneralBattleEffect,impact_light_2,GeneralBattleEffect,impact_melee_2
50001,-1,HeroBattleEffect,hero_50001_attack_impact,HeroBattleEffect,hero_50001_skill_impact
50001,50001001,HeroBattleEffect,hero_50001_skin_id_50001001_attack_impact,HeroBattleEffect,hero_50001_skin_id_50001001_skill_impact
50002,-1,GeneralBattleEffect,impact_light_2,HeroBattleEffect,hero_50002_skill_impact
50002,50002001,HeroBattleEffect,hero_50002_skin_id_50002001_attack_impact,HeroBattleEffect,hero_50002_skin_id_50002001_skill_impact
50003,-1,HeroBattleEffect,hero_50003_attack_impact,HeroBattleEffect,hero_50003_skill_impact
50004,-1,HeroBattleEffect,hero_50004_attack_impact,HeroBattleEffect,hero_50004_skill_impact
50003,50003001,HeroBattleEffect,hero_50003_skin_id_50003001_attack_impact,HeroBattleEffect,hero_50003_skin_id_50003001_skill_impact
50005,-1,HeroBattleEffect,hero_50005_attack_impact,,
50006,-1,HeroBattleEffect,hero_50006_attack_impact,HeroBattleEffect,hero_50006_skill_impact
50006,50006001,HeroBattleEffect,hero_50006_skin_id_50006001_attack_impact,HeroBattleEffect,hero_50006_skin_id_50006001_skill_impact
50006,50006002,HeroBattleEffect,hero_50006_skin_id_50006002_attack_impact,HeroBattleEffect,hero_50006_skin_id_50006002_skill_impact
50008,-1,HeroBattleEffect,hero_50008_attack_impact,HeroBattleEffect,hero_50008_skill_impact
50009,-1,HeroBattleEffect,hero_50009_attack_impact,HeroBattleEffect,hero_50009_skill_impact
50010,-1,GeneralBattleEffect,impact_light,HeroBattleEffect,hero_50010_skill_impact
50011,-1,HeroBattleEffect,hero_50011_attack_impact,HeroBattleEffect,hero_50011_skill_impact
50011,50011001,HeroBattleEffect,hero_50011_skin_id_50011001_attack_impact,HeroBattleEffect,hero_50011_skin_id_50011001_skill_impact
50012,-1,HeroBattleEffect,hero_50012_attack_impact,HeroBattleEffect,hero_50012_skill_impact
50013,-1,HeroBattleEffect,hero_50013_attack_impact,GeneralBattleEffect,impact_light
50014,-1,GeneralBattleEffect,impact_fire,GeneralBattleEffect,impact_fire_skill
50015,-1,HeroBattleEffect,hero_50015_attack_impact,,
50016,-1,HeroBattleEffect,hero_50016_attack_impact,HeroBattleEffect,hero_50016_skill_impact
50017,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_50017_skill_impact
50018,-1,HeroBattleEffect,hero_50018_attack_impact,GeneralBattleEffect,impact_light
50019,-1,HeroBattleEffect,hero_50019_attack_impact,GeneralBattleEffect,impact_light
50020,-1,GeneralBattleEffect,impact_light_2,HeroBattleEffect,hero_50020_skill_impact
50021,-1,GeneralBattleEffect,impact_light_2,GeneralBattleEffect,impact_light
50022,-1,GeneralBattleEffect,impact_range,HeroBattleEffect,hero_50022_skill_impact
50023,-1,GeneralBattleEffect,impact_light_2,GeneralBattleEffect,impact_light_2
50024,-1,GeneralBattleEffect,impact_light_2,HeroBattleEffect,hero_50024_skill_impact
50025,-1,GeneralBattleEffect,impact_light_2,HeroBattleEffect,hero_50025_skill_impact
50026,-1,GeneralBattleEffect,impact_light_2,GeneralBattleEffect,impact_light
60001,-1,HeroBattleEffect,hero_60001_attack_impact,HeroBattleEffect,hero_60001_skill_impact
60002,-1,GeneralBattleEffect,impact_black,GeneralBattleEffect,impact_black_2
60003,-1,HeroBattleEffect,hero_60003_attack_impact,HeroBattleEffect,hero_60003_skill_impact
60003,60003002,HeroBattleEffect,hero_60003_skin_id_60003002_attack_impact,HeroBattleEffect,hero_60003_skin_id_60003002_skill_impact
60004,-1,HeroBattleEffect,hero_60004_attack_impact,HeroBattleEffect,hero_60004_skill_impact
60006,-1,HeroBattleEffect,hero_60006_attack_impact,HeroBattleEffect,hero_60006_skill_impact
60006,60006001,HeroBattleEffect,hero_60006_skin_id_60006001_attack_impact,HeroBattleEffect,hero_60006_skin_id_60006001_skill_impact
60006,60006002,HeroBattleEffect,hero_60006_skin_id_60006002_attack_impact,HeroBattleEffect,hero_60006_skin_id_60006002_skill_impact
60007,-1,HeroBattleEffect,hero_60007_attack_impact,HeroBattleEffect,hero_60007_skill_impact
60008,-1,HeroBattleEffect,hero_60008_attack_impact,HeroBattleEffect,hero_60008_skill_impact
60008,60008001,HeroBattleEffect,hero_60008_skin_id_60008001_attack_impact,HeroBattleEffect,hero_60008_skin_id_60008001_skill_impact
60008,60008002,HeroBattleEffect,hero_60008_skin_id_60008002_attack_impact,HeroBattleEffect,hero_60008_skin_id_60008002_skill_impact
60009,-1,HeroBattleEffect,hero_60009_attack_impact,HeroBattleEffect,hero_60009_skill_impact
60010,-1,HeroBattleEffect,hero_60010_attack_impact,HeroBattleEffect,hero_60010_skill_impact
60011,-1,HeroBattleEffect,hero_60011_attack_impact,HeroBattleEffect,hero_60011_skill_impact
60012,-1,GeneralBattleEffect,impact_black_3,GeneralBattleEffect,impact_black_2
60013,-1,GeneralBattleEffect,impact_black,HeroBattleEffect,hero_60013_skill_impact
60014,-1,GeneralBattleEffect,impact_black_3,HeroBattleEffect,hero_60014_skill_impact
60015,-1,GeneralBattleEffect,impact_black,HeroBattleEffect,hero_60015_skill_impact
60016,-1,HeroBattleEffect,hero_60016_attack_impact,HeroBattleEffect,hero_60016_skill_impact
60017,-1,HeroBattleEffect,hero_60017_attack_impact,HeroBattleEffect,hero_60017_skill_impact
60018,-1,GeneralBattleEffect,impact_black_3,HeroBattleEffect,hero_60018_skill_impact
60019,-1,GeneralBattleEffect,impact_black,HeroBattleEffect,hero_60019_skill_impact
60020,-1,GeneralBattleEffect,impact_melee,GeneralBattleEffect,impact_melee_2
60021,-1,GeneralBattleEffect,impact_melee,HeroBattleEffect,hero_60021_skill_impact
60022,-1,GeneralBattleEffect,impact_black,GeneralBattleEffect,impact_black_2
60023,-1,,,HeroBattleEffect,hero_60023_skill_impact
60024,-1,GeneralBattleEffect,impact_black_3,HeroBattleEffect,hero_60024_skill_impact
60025,-1,GeneralBattleEffect,impact_black_3,HeroBattleEffect,hero_60025_skill_impact
60026,-1,GeneralBattleEffect,impact_black_3,HeroBattleEffect,hero_60026_skill_impact
